comune,codice,n_missioni,severity_tier,tier_weight,n_missioni_pesate
Airola,ROSSO,14,BASSA,1.0,14.0
Airola,GIALLO,16,BASSA,1.0,16.0
Airola,VERDE,63,BASSA,1.0,63.0
Airola,BIANCO,23,BASSA,1.0,23.0
Limatola,ROSSO,14,BASSA,1.0,14.0
Limatola,GIALLO,52,BASSA,1.0,52.0
Limatola,VERDE,98,BASSA,1.0,98.0
Limatola,BIANCO,34,BASSA,1.0,34.0
San Giorgio Del Sannio,ROSSO,24,BASSA,1.0,24.0
San Giorgio Del Sannio,GIALLO,44,BASSA,1.0,44.0
San Giorgio Del Sannio,VERDE,133,BASSA,1.0,133.0
San Giorgio Del Sannio,BIANCO,37,BASSA,1.0,37.0
San Salvatore Telesino,ROSSO,26,ALTA,1.3,33.8
San Salvatore Telesino,GIALLO,47,ALTA,1.3,61.1
San Salvatore Telesino,VERDE,41,ALTA,1.3,53.3
San Salvatore Telesino,BIANCO,4,ALTA,1.3,5.2
Benevento,ROSSO,29,BASSA,1.0,29.0
Benevento,GIALLO,84,BASSA,1.0,84.0
Benevento,VERDE,163,BASSA,1.0,163.0
Benevento,BIANCO,46,BASSA,1.0,46.0
Cerreto Sannita,ROSSO,12,ALTA,1.3,15.6
Cerreto Sannita,GIALLO,18,ALTA,1.3,23.4
Cerreto Sannita,VERDE,15,ALTA,1.3,19.5
Cerreto Sannita,BIANCO,2,ALTA,1.3,2.6
Ginestra Degli Schiavoni,ROSSO,26,MEDIA,1.1,28.6
Ginestra Degli Schiavoni,GIALLO,93,MEDIA,1.1,102.3
Ginestra Degli Schiavoni,VERDE,102,MEDIA,1.1,112.2
Ginestra Degli Schiavoni,BIANCO,25,MEDIA,1.1,27.5
Morcone,ROSSO,18,ALTA,1.3,23.4
Morcone,GIALLO,33,ALTA,1.3,42.9
Morcone,VERDE,24,ALTA,1.3,31.2
Morcone,BIANCO,4,ALTA,1.3,5.2
San Bartolomeo In Galdo,ROSSO,31,MEDIA,1.1,34.1
San Bartolomeo In Galdo,GIALLO,56,MEDIA,1.1,61.6
San Bartolomeo In Galdo,VERDE,68,MEDIA,1.1,74.8
San Bartolomeo In Galdo,BIANCO,19,MEDIA,1.1,20.9
Vitulano,ROSSO,37,BASSA,1.0,37.0
Vitulano,GIALLO,122,BASSA,1.0,122.0
Vitulano,VERDE,275,BASSA,1.0,275.0
Vitulano,BIANCO,80,BASSA,1.0,80.0
San Marco Dei Cavoti,ROSSO,8,ALTA,1.3,10.4
San Marco Dei Cavoti,GIALLO,11,ALTA,1.3,14.3
San Marco Dei Cavoti,VERDE,10,ALTA,1.3,13.0
San Marco Dei Cavoti,BIANCO,2,ALTA,1.3,2.6
Torrecuso,ROSSO,31,BASSA,1.0,31.0
Torrecuso,GIALLO,84,BASSA,1.0,84.0
Torrecuso,VERDE,181,BASSA,1.0,181.0
Torrecuso,BIANCO,64,BASSA,1.0,64.0
Amorosi,ROSSO,19,ALTA,1.3,24.7
Amorosi,GIALLO,30,ALTA,1.3,39.0
Amorosi,VERDE,24,ALTA,1.3,31.2
Amorosi,BIANCO,2,ALTA,1.3,2.6
Apice,ROSSO,67,MEDIA,1.1,73.7
Apice,GIALLO,133,MEDIA,1.1,146.3
Apice,VERDE,136,MEDIA,1.1,149.6
Apice,BIANCO,57,MEDIA,1.1,62.7
Apollosa,ROSSO,39,MEDIA,1.1,42.9
Apollosa,GIALLO,78,MEDIA,1.1,85.8
Apollosa,VERDE,87,MEDIA,1.1,95.7
Apollosa,BIANCO,12,MEDIA,1.1,13.2
Arpaia,ROSSO,10,MEDIA,1.1,11.0
Arpaia,GIALLO,24,MEDIA,1.1,26.4
Arpaia,VERDE,23,MEDIA,1.1,25.3
Arpaia,BIANCO,8,MEDIA,1.1,8.8
Arpaise,ROSSO,43,ALTA,1.3,55.9
Arpaise,GIALLO,59,ALTA,1.3,76.7
Arpaise,VERDE,48,ALTA,1.3,62.4
Arpaise,BIANCO,7,ALTA,1.3,9.1
Baselice,ROSSO,81,ALTA,1.3,105.3
Baselice,GIALLO,146,ALTA,1.3,189.8
Baselice,VERDE,97,ALTA,1.3,126.1
Baselice,BIANCO,11,ALTA,1.3,14.3
Bonea,ROSSO,82,ALTA,1.3,106.6
Bonea,GIALLO,129,ALTA,1.3,167.7
Bonea,VERDE,92,ALTA,1.3,119.6
Bonea,BIANCO,16,ALTA,1.3,20.8
Bucciano,ROSSO,19,BASSA,1.0,19.0
Bucciano,GIALLO,67,BASSA,1.0,67.0
Bucciano,VERDE,101,BASSA,1.0,101.0
Bucciano,BIANCO,40,BASSA,1.0,40.0
Buonalbergo,ROSSO,12,MEDIA,1.1,13.2
Buonalbergo,GIALLO,18,MEDIA,1.1,19.8
Buonalbergo,VERDE,25,MEDIA,1.1,27.5
Buonalbergo,BIANCO,3,MEDIA,1.1,3.3
Calvi,ROSSO,34,ALTA,1.3,44.2
Calvi,GIALLO,66,ALTA,1.3,85.8
Calvi,VERDE,45,ALTA,1.3,58.5
Calvi,BIANCO,11,ALTA,1.3,14.3
Campolattaro,ROSSO,128,MEDIA,1.1,140.8
Campolattaro,GIALLO,300,MEDIA,1.1,330.0
Campolattaro,VERDE,364,MEDIA,1.1,400.4
Campolattaro,BIANCO,103,MEDIA,1.1,113.3
Campoli Del Monte Taburno,ROSSO,40,ALTA,1.3,52.0
Campoli Del Monte Taburno,GIALLO,95,ALTA,1.3,123.5
Campoli Del Monte Taburno,VERDE,69,ALTA,1.3,89.7
Campoli Del Monte Taburno,BIANCO,21,ALTA,1.3,27.3
Casalduni,ROSSO,30,BASSA,1.0,30.0
Casalduni,GIALLO,58,BASSA,1.0,58.0
Casalduni,VERDE,170,BASSA,1.0,170.0
Casalduni,BIANCO,43,BASSA,1.0,43.0
Castelfranco In Miscano,ROSSO,19,BASSA,1.0,19.0
Castelfranco In Miscano,GIALLO,56,BASSA,1.0,56.0
Castelfranco In Miscano,VERDE,96,BASSA,1.0,96.0
Castelfranco In Miscano,BIANCO,34,BASSA,1.0,34.0
Castelpagano,ROSSO,1,MEDIA,1.1,1.1
Castelpagano,VERDE,4,MEDIA,1.1,4.4
Castelpagano,BIANCO,2,MEDIA,1.1,2.2
Castelpoto,ROSSO,27,MEDIA,1.1,29.7
Castelpoto,GIALLO,87,MEDIA,1.1,95.7
Castelpoto,VERDE,79,MEDIA,1.1,86.9
Castelpoto,BIANCO,17,MEDIA,1.1,18.7
Castelvenere,ROSSO,17,BASSA,1.0,17.0
Castelvenere,GIALLO,53,BASSA,1.0,53.0
Castelvenere,VERDE,97,BASSA,1.0,97.0
Castelvenere,BIANCO,35,BASSA,1.0,35.0
Castelvetere In Val Fortore,ROSSO,23,BASSA,1.0,23.0
Castelvetere In Val Fortore,GIALLO,59,BASSA,1.0,59.0
Castelvetere In Val Fortore,VERDE,120,BASSA,1.0,120.0
Castelvetere In Val Fortore,BIANCO,49,BASSA,1.0,49.0
Cautano,ROSSO,59,ALTA,1.3,76.7
Cautano,GIALLO,100,ALTA,1.3,130.0
Cautano,VERDE,75,ALTA,1.3,97.5
Cautano,BIANCO,16,ALTA,1.3,20.8
Ceppaloni,ROSSO,32,ALTA,1.3,41.6
Ceppaloni,GIALLO,39,ALTA,1.3,50.7
Ceppaloni,VERDE,27,ALTA,1.3,35.1
Ceppaloni,BIANCO,8,ALTA,1.3,10.4
Circello,ROSSO,58,MEDIA,1.1,63.8
Circello,GIALLO,165,MEDIA,1.1,181.5
Circello,VERDE,200,MEDIA,1.1,220.0
Circello,BIANCO,37,MEDIA,1.1,40.7
Colle Sannita,ROSSO,23,MEDIA,1.1,25.3
Colle Sannita,GIALLO,77,MEDIA,1.1,84.7
Colle Sannita,VERDE,88,MEDIA,1.1,96.8
Colle Sannita,BIANCO,16,MEDIA,1.1,17.6
Cusano Mutri,ROSSO,122,ALTA,1.3,158.6
Cusano Mutri,GIALLO,205,ALTA,1.3,266.5
Cusano Mutri,VERDE,158,ALTA,1.3,205.4
Cusano Mutri,BIANCO,15,ALTA,1.3,19.5
Dugenta,ROSSO,43,BASSA,1.0,43.0
Dugenta,GIALLO,172,BASSA,1.0,172.0
Dugenta,VERDE,341,BASSA,1.0,341.0
Dugenta,BIANCO,109,BASSA,1.0,109.0
Durazzano,ROSSO,19,BASSA,1.0,19.0
Durazzano,GIALLO,50,BASSA,1.0,50.0
Durazzano,VERDE,103,BASSA,1.0,103.0
Durazzano,BIANCO,38,BASSA,1.0,38.0
Faicchio,ROSSO,13,MEDIA,1.1,14.3
Faicchio,GIALLO,48,MEDIA,1.1,52.8
Faicchio,VERDE,63,MEDIA,1.1,69.3
Faicchio,BIANCO,14,MEDIA,1.1,15.4
Foglianise,ROSSO,35,MEDIA,1.1,38.5
Foglianise,GIALLO,89,MEDIA,1.1,97.9
Foglianise,VERDE,108,MEDIA,1.1,118.8
Foglianise,BIANCO,39,MEDIA,1.1,42.9
Foiano Di Val Fortore,ROSSO,21,MEDIA,1.1,23.1
Foiano Di Val Fortore,GIALLO,40,MEDIA,1.1,44.0
Foiano Di Val Fortore,VERDE,53,MEDIA,1.1,58.3
Foiano Di Val Fortore,BIANCO,16,MEDIA,1.1,17.6
Forchia,ROSSO,57,MEDIA,1.1,62.7
Forchia,GIALLO,119,MEDIA,1.1,130.9
Forchia,VERDE,153,MEDIA,1.1,168.3
Forchia,BIANCO,32,MEDIA,1.1,35.2
Fragneto Monforte,ROSSO,20,MEDIA,1.1,22.0
Fragneto Monforte,GIALLO,36,MEDIA,1.1,39.6
Fragneto Monforte,VERDE,45,MEDIA,1.1,49.5
Fragneto Monforte,BIANCO,9,MEDIA,1.1,9.9
Fragneto L'Abate,ROSSO,77,ALTA,1.3,100.1
Fragneto L'Abate,GIALLO,139,ALTA,1.3,180.7
Fragneto L'Abate,VERDE,105,ALTA,1.3,136.5
Fragneto L'Abate,BIANCO,16,ALTA,1.3,20.8
Frasso Telesino,ROSSO,31,MEDIA,1.1,34.1
Frasso Telesino,GIALLO,67,MEDIA,1.1,73.7
Frasso Telesino,VERDE,82,MEDIA,1.1,90.2
Frasso Telesino,BIANCO,17,MEDIA,1.1,18.7
Guardia Sanframondi,ROSSO,94,MEDIA,1.1,103.4
Guardia Sanframondi,GIALLO,209,MEDIA,1.1,229.9
Guardia Sanframondi,VERDE,182,MEDIA,1.1,200.2
Guardia Sanframondi,BIANCO,59,MEDIA,1.1,64.9
Melizzano,ROSSO,10,ALTA,1.3,13.0
Melizzano,GIALLO,14,ALTA,1.3,18.2
Melizzano,VERDE,17,ALTA,1.3,22.1
Melizzano,BIANCO,3,ALTA,1.3,3.9
Moiano,ROSSO,7,BASSA,1.0,7.0
Moiano,GIALLO,14,BASSA,1.0,14.0
Moiano,VERDE,26,BASSA,1.0,26.0
Moiano,BIANCO,14,BASSA,1.0,14.0
Molinara,ROSSO,26,ALTA,1.3,33.8
Molinara,GIALLO,47,ALTA,1.3,61.1
Molinara,VERDE,29,ALTA,1.3,37.7
Molinara,BIANCO,5,ALTA,1.3,6.5
Montefalcone Di Val Fortore,ROSSO,84,MEDIA,1.1,92.4
Montefalcone Di Val Fortore,GIALLO,155,MEDIA,1.1,170.5
Montefalcone Di Val Fortore,VERDE,182,MEDIA,1.1,200.2
Montefalcone Di Val Fortore,BIANCO,53,MEDIA,1.1,58.3
Montesarchio,ROSSO,96,ALTA,1.3,124.8
Montesarchio,GIALLO,163,ALTA,1.3,211.9
Montesarchio,VERDE,106,ALTA,1.3,137.8
Montesarchio,BIANCO,16,ALTA,1.3,20.8
Paduli,ROSSO,86,MEDIA,1.1,94.6
Paduli,GIALLO,206,MEDIA,1.1,226.6
Paduli,VERDE,240,MEDIA,1.1,264.0
Paduli,BIANCO,64,MEDIA,1.1,70.4
Pago Veiano,ROSSO,59,ALTA,1.3,76.7
Pago Veiano,GIALLO,85,ALTA,1.3,110.5
Pago Veiano,VERDE,71,ALTA,1.3,92.3
Pago Veiano,BIANCO,13,ALTA,1.3,16.9
Pannarano,ROSSO,9,BASSA,1.0,9.0
Pannarano,GIALLO,42,BASSA,1.0,42.0
Pannarano,VERDE,114,BASSA,1.0,114.0
Pannarano,BIANCO,41,BASSA,1.0,41.0
Paolisi,ROSSO,38,ALTA,1.3,49.4
Paolisi,GIALLO,76,ALTA,1.3,98.8
Paolisi,VERDE,53,ALTA,1.3,68.9
Paolisi,BIANCO,8,ALTA,1.3,10.4
Paupisi,ROSSO,107,ALTA,1.3,139.1
Paupisi,GIALLO,172,ALTA,1.3,223.6
Paupisi,VERDE,119,ALTA,1.3,154.7
Paupisi,BIANCO,23,ALTA,1.3,29.9
Pesco Sannita,ROSSO,25,BASSA,1.0,25.0
Pesco Sannita,GIALLO,77,BASSA,1.0,77.0
Pesco Sannita,VERDE,146,BASSA,1.0,146.0
Pesco Sannita,BIANCO,44,BASSA,1.0,44.0
Pietraroja,ROSSO,10,BASSA,1.0,10.0
Pietraroja,GIALLO,15,BASSA,1.0,15.0
Pietraroja,VERDE,48,BASSA,1.0,48.0
Pietraroja,BIANCO,17,BASSA,1.0,17.0
Pietrelcina,ROSSO,60,MEDIA,1.1,66.0
Pietrelcina,GIALLO,107,MEDIA,1.1,117.7
Pietrelcina,VERDE,141,MEDIA,1.1,155.1
Pietrelcina,BIANCO,33,MEDIA,1.1,36.3
Ponte,ROSSO,45,MEDIA,1.1,49.5
Ponte,GIALLO,112,MEDIA,1.1,123.2
Ponte,VERDE,112,MEDIA,1.1,123.2
Ponte,BIANCO,32,MEDIA,1.1,35.2
Pontelandolfo,ROSSO,11,BASSA,1.0,11.0
Pontelandolfo,GIALLO,35,BASSA,1.0,35.0
Pontelandolfo,VERDE,63,BASSA,1.0,63.0
Pontelandolfo,BIANCO,21,BASSA,1.0,21.0
Puglianello,ROSSO,6,MEDIA,1.1,6.6
Puglianello,GIALLO,17,MEDIA,1.1,18.7
Puglianello,VERDE,15,MEDIA,1.1,16.5
Puglianello,BIANCO,4,MEDIA,1.1,4.4
Reino,ROSSO,12,MEDIA,1.1,13.2
Reino,GIALLO,27,MEDIA,1.1,29.7
Reino,VERDE,27,MEDIA,1.1,29.7
Reino,BIANCO,7,MEDIA,1.1,7.7
San Giorgio La Molara,ROSSO,59,MEDIA,1.1,64.9
San Giorgio La Molara,GIALLO,162,MEDIA,1.1,178.2
San Giorgio La Molara,VERDE,150,MEDIA,1.1,165.0
San Giorgio La Molara,BIANCO,48,MEDIA,1.1,52.8
San Leucio Del Sannio,ROSSO,5,MEDIA,1.1,5.5
San Leucio Del Sannio,GIALLO,9,MEDIA,1.1,9.9
San Leucio Del Sannio,VERDE,11,MEDIA,1.1,12.1
San Leucio Del Sannio,BIANCO,2,MEDIA,1.1,2.2
San Lorenzello,ROSSO,35,MEDIA,1.1,38.5
San Lorenzello,GIALLO,102,MEDIA,1.1,112.2
San Lorenzello,VERDE,111,MEDIA,1.1,122.1
San Lorenzello,BIANCO,24,MEDIA,1.1,26.4
San Lorenzo Maggiore,ROSSO,57,MEDIA,1.1,62.7
San Lorenzo Maggiore,GIALLO,149,MEDIA,1.1,163.9
San Lorenzo Maggiore,VERDE,155,MEDIA,1.1,170.5
San Lorenzo Maggiore,BIANCO,31,MEDIA,1.1,34.1
San Lupo,ROSSO,26,BASSA,1.0,26.0
San Lupo,GIALLO,83,BASSA,1.0,83.0
San Lupo,VERDE,174,BASSA,1.0,174.0
San Lupo,BIANCO,46,BASSA,1.0,46.0
San Martino Sannita,ROSSO,67,MEDIA,1.1,73.7
San Martino Sannita,GIALLO,146,MEDIA,1.1,160.6
San Martino Sannita,VERDE,181,MEDIA,1.1,199.1
San Martino Sannita,BIANCO,50,MEDIA,1.1,55.0
San Nazzaro,ROSSO,15,MEDIA,1.1,16.5
San Nazzaro,GIALLO,45,MEDIA,1.1,49.5
San Nazzaro,VERDE,44,MEDIA,1.1,48.4
San Nazzaro,BIANCO,18,MEDIA,1.1,19.8
San Nicola Manfredi,ROSSO,108,ALTA,1.3,140.4
San Nicola Manfredi,GIALLO,153,ALTA,1.3,198.9
San Nicola Manfredi,VERDE,113,ALTA,1.3,146.9
San Nicola Manfredi,BIANCO,25,ALTA,1.3,32.5
Sant'Agata De' Goti,ROSSO,50,BASSA,1.0,50.0
Sant'Agata De' Goti,GIALLO,193,BASSA,1.0,193.0
Sant'Agata De' Goti,VERDE,385,BASSA,1.0,385.0
Sant'Agata De' Goti,BIANCO,139,BASSA,1.0,139.0
Sant'Angelo A Cupolo,ROSSO,7,BASSA,1.0,7.0
Sant'Angelo A Cupolo,GIALLO,17,BASSA,1.0,17.0
Sant'Angelo A Cupolo,VERDE,56,BASSA,1.0,56.0
Sant'Angelo A Cupolo,BIANCO,17,BASSA,1.0,17.0
Sant'Arcangelo Trimonte,ROSSO,51,MEDIA,1.1,56.1
Sant'Arcangelo Trimonte,GIALLO,112,MEDIA,1.1,123.2
Sant'Arcangelo Trimonte,VERDE,129,MEDIA,1.1,141.9
Sant'Arcangelo Trimonte,BIANCO,33,MEDIA,1.1,36.3
Santa Croce Del Sannio,ROSSO,46,ALTA,1.3,59.8
Santa Croce Del Sannio,GIALLO,78,ALTA,1.3,101.4
Santa Croce Del Sannio,VERDE,65,ALTA,1.3,84.5
Santa Croce Del Sannio,BIANCO,11,ALTA,1.3,14.3
Sassinoro,ROSSO,37,ALTA,1.3,48.1
Sassinoro,GIALLO,62,ALTA,1.3,80.6
Sassinoro,VERDE,54,ALTA,1.3,70.2
Sassinoro,BIANCO,11,ALTA,1.3,14.3
Solopaca,ROSSO,20,MEDIA,1.1,22.0
Solopaca,GIALLO,65,MEDIA,1.1,71.5
Solopaca,VERDE,69,MEDIA,1.1,75.9
Solopaca,BIANCO,16,MEDIA,1.1,17.6
Telese Terme,ROSSO,27,MEDIA,1.1,29.7
Telese Terme,GIALLO,86,MEDIA,1.1,94.6
Telese Terme,VERDE,99,MEDIA,1.1,108.9
Telese Terme,BIANCO,23,MEDIA,1.1,25.3
Tocco Caudio,ROSSO,73,MEDIA,1.1,80.3
Tocco Caudio,GIALLO,165,MEDIA,1.1,181.5
Tocco Caudio,VERDE,167,MEDIA,1.1,183.7
Tocco Caudio,BIANCO,48,MEDIA,1.1,52.8
