origin_comune,dest_comune,travel_time_min
Airola,Airola,0.0
Airola,Limatola,42.40833333333333
Airola,San Giorgio Del Sannio,50.87166666666667
Airola,San Salvatore Telesino,44.08166666666667
Airola,Benevento,63.24
Airola,Cerreto Sannita,54.7
Airola,Ginestra Degli Schiavoni,84.87666666666668
Airola,Morcone,73.58500000000001
Airola,San Bartolomeo In Galdo,102.28
Airola,Vitulano,39.931666666666665
Airola,San Marco Dei Cavoti,70.31833333333334
Airola,Torrecuso,48.925
Airola,Amorosi,39.53666666666666
Airola,Apice,63.361666666666665
Airola,Apollosa,31.24
Airola,Arpaia,8.395
Airola,Arpaise,28.71333333333333
Airola,Baselice,93.86833333333334
Airola,Bonea,13.971666666666666
Airola,Bucciano,6.923333333333333
Airola,Buonalbergo,66.53666666666666
Airola,Calvi,53.40166666666666
Airola,Campolattaro,61.641666666666666
Airola,Campoli Del Monte Taburno,29.145
Airola,Casalduni,61.54
Airola,Castelfranco In Miscano,87.58333333333333
Airola,Castelpagano,82.17
Airola,Castelpoto,35.836666666666666
Airola,Castelvenere,46.37833333333333
Airola,Castelvetere In Val Fortore,101.60833333333332
Airola,Cautano,34.34166666666667
Airola,Ceppaloni,34.525
Airola,Circello,80.36166666666666
Airola,Colle Sannita,76.99833333333332
Airola,Cusano Mutri,71.51166666666667
Airola,Dugenta,31.043333333333333
Airola,Durazzano,27.78166666666667
Airola,Faicchio,51.38
Airola,Foglianise,39.31333333333334
Airola,Foiano Di Val Fortore,87.765
Airola,Forchia,10.951666666666666
Airola,Fragneto Monforte,59.27833333333333
Airola,Fragneto L'Abate,60.86666666666667
Airola,Frasso Telesino,25.46
Airola,Ginestra Degli Schiavoni,84.87666666666668
Airola,Guardia Sanframondi,51.03333333333333
Airola,Melizzano,30.45833333333333
Airola,Moiano,8.018333333333334
Airola,Molinara,77.935
Airola,Montefalcone Di Val Fortore,89.12333333333332
Airola,Montesarchio,18.16166666666667
Airola,Paduli,56.185
Airola,Pago Veiano,64.87833333333333
Airola,Pannarano,23.211666666666662
Airola,Paolisi,9.156666666666666
Airola,Paupisi,50.68833333333334
Airola,Pesco Sannita,56.50833333333333
Airola,Pietraroja,79.20833333333333
Airola,Pietrelcina,55.885
Airola,Ponte,52.80333333333333
Airola,Pontelandolfo,65.78
Airola,Puglianello,42.04333333333333
Airola,Reino,66.72
Airola,San Bartolomeo In Galdo,102.28
Airola,San Giorgio La Molara,78.17
Airola,San Giorgio Del Sannio,50.87166666666667
Airola,San Leucio Del Sannio,38.29333333333333
Airola,San Lorenzello,55.685
Airola,San Lorenzo Maggiore,49.60166666666667
Airola,San Lupo,54.60166666666667
Airola,San Marco Dei Cavoti,70.31833333333334
Airola,San Martino Sannita,51.318333333333335
Airola,San Nazzaro,55.181666666666665
Airola,San Nicola Manfredi,51.425
Airola,Sant'Agata De' Goti,18.7
Airola,Sant'Angelo A Cupolo,50.56666666666667
Airola,Sant'Arcangelo Trimonte,65.08333333333333
Airola,Santa Croce Del Sannio,74.515
Airola,Sassinoro,73.36999999999999
Airola,Solopaca,35.49333333333333
Airola,Telese Terme,41.415
Airola,Tocco Caudio,30.71333333333333
Limatola,Airola,38.431666666666665
Limatola,Limatola,0.0
Limatola,San Giorgio Del Sannio,72.38833333333334
