from_site_id,to_comune,distance_km
AMB_ALS_AIROLA,Airola,0.0
AMB_ALS_AIROLA,Limatola,24.23
AMB_ALS_AIROLA,San Giorgio Del Sannio,37.36
AMB_ALS_AIROLA,San Salvatore Telesino,32.98
AMB_ALS_AIROLA,Benevento,43.53
AMB_ALS_AIROLA,Cerreto Sannita,39.06
AMB_ALS_AIROLA,Ginestra Degli Schiavoni,69.92
AMB_ALS_AIROLA,Morcone,59.95
AMB_ALS_AIROLA,San Bartolomeo In Galdo,82.85
AMB_ALS_AIROLA,Vitulano,21.78
AMB_ALS_AIROLA,San Marco Dei Cavoti,57.17
AMB_ALS_AIROLA,Torrecuso,25.52
AMB_ALS_AIROLA,Amorosi,28.85
AMB_ALS_AIROLA,Apice,48.75
AMB_ALS_AIROLA,Apollosa,15.69
AMB_ALS_AIROLA,Arpaia,3.49
AMB_ALS_AIROLA,Arpaise,20.45
AMB_ALS_AIROLA,Baselice,74.1
AMB_ALS_AIROLA,Bonea,6.4
AMB_ALS_AIROLA,Bucciano,3.56
AMB_ALS_AIROLA,Buonalbergo,53.98
AMB_ALS_AIROLA,Calvi,38.28
AMB_ALS_AIROLA,Campolattaro,49.19
AMB_ALS_AIROLA,Campoli del Monte Taburno,15.08
AMB_ALS_AIROLA,Casalduni,44.5
AMB_ALS_AIROLA,Castelfranco in Miscano,71.75
AMB_ALS_AIROLA,Castelpagano,70.53
AMB_ALS_AIROLA,Castelpoto,18.28
AMB_ALS_AIROLA,Castelvenere,29.54
AMB_ALS_AIROLA,Castelvetere in Val Fortore,81.18
AMB_ALS_AIROLA,Cautano,17.96
AMB_ALS_AIROLA,Ceppaloni,24.4
AMB_ALS_AIROLA,Circello,63.2
AMB_ALS_AIROLA,Colle Sannita,64.03
AMB_ALS_AIROLA,Cusano Mutri,47.53
AMB_ALS_AIROLA,Dugenta,18.31
AMB_ALS_AIROLA,Durazzano,17.28
AMB_ALS_AIROLA,Faicchio,37.61
AMB_ALS_AIROLA,Foglianise,20.98
AMB_ALS_AIROLA,Foiano di Val Fortore,71.35
AMB_ALS_AIROLA,Forchia,4.62
AMB_ALS_AIROLA,Fragneto Monforte,46.34
AMB_ALS_AIROLA,Fragneto l'Abate,46.95
AMB_ALS_AIROLA,Frasso Telesino,15.99
AMB_ALS_AIROLA,Ginestra degli Schiavoni,69.92
AMB_ALS_AIROLA,Guardia Sanframondi,34.71
AMB_ALS_AIROLA,Melizzano,18.73
AMB_ALS_AIROLA,Moiano,3.58
AMB_ALS_AIROLA,Molinara,59.95
AMB_ALS_AIROLA,Montefalcone di Val Fortore,67.79
AMB_ALS_AIROLA,Montesarchio,8.14
AMB_ALS_AIROLA,Paduli,42.17
AMB_ALS_AIROLA,Pago Veiano,47.27
AMB_ALS_AIROLA,Pannarano,17.1
AMB_ALS_AIROLA,Paolisi,3.71
AMB_ALS_AIROLA,Paupisi,35.39
AMB_ALS_AIROLA,Pesco Sannita,43.63
AMB_ALS_AIROLA,Pietraroja,50.24
AMB_ALS_AIROLA,Pietrelcina,41.17
AMB_ALS_AIROLA,Ponte,38.39
AMB_ALS_AIROLA,Pontelandolfo,52.78
AMB_ALS_AIROLA,Puglianello,32.0
AMB_ALS_AIROLA,Reino,53.99
AMB_ALS_AIROLA,San Bartolomeo in Galdo,82.85
AMB_ALS_AIROLA,San Giorgio La Molara,57.98
AMB_ALS_AIROLA,San Giorgio del Sannio,37.36
AMB_ALS_AIROLA,San Leucio del Sannio,23.96
AMB_ALS_AIROLA,San Lorenzello,40.32
AMB_ALS_AIROLA,San Lorenzo Maggiore,34.72
AMB_ALS_AIROLA,San Lupo,37.51
AMB_ALS_AIROLA,San Marco dei Cavoti,57.17
AMB_ALS_AIROLA,San Martino Sannita,37.1
AMB_ALS_AIROLA,San Nazzaro,40.55
AMB_ALS_AIROLA,San Nicola Manfredi,36.66
AMB_ALS_AIROLA,Sant'Agata de' Goti,11.53
AMB_ALS_AIROLA,Sant'Angelo a Cupolo,37.14
AMB_ALS_AIROLA,Sant'Arcangelo Trimonte,50.59
AMB_ALS_AIROLA,Santa Croce del Sannio,65.8
AMB_ALS_AIROLA,Sassinoro,62.57
AMB_ALS_AIROLA,Solopaca,23.65
AMB_ALS_AIROLA,Telese Terme,26.68
AMB_ALS_AIROLA,Tocco Caudio,15.11
AMB_ALS_LIMATOLA,Airola,22.38
AMB_ALS_LIMATOLA,Limatola,0.0
AMB_ALS_LIMATOLA,San Giorgio Del Sannio,59.42
AMB_ALS_LIMATOLA,San Salvatore Telesino,17.94
AMB_ALS_LIMATOLA,Benevento,42.88
