comune,istat_code,resident_population
Airola,062001,8118
Amorosi,062002,2645
Apice,062003,5235
Apollosa,062004,2444
Arpaia,062005,1977
Arpaise,062006,720
Baselice,062007,2026
Benevento,062008,55712
Bonea,062009,1375
Bucciano,062010,1980
Buonalbergo,062011,1506
Calvi,062012,2492
Campolattaro,062013,969
Campoli del Monte Taburno,062014,1675
Casalduni,062015,1185
Castelfranco in Miscano,062016,763
Castelpagano,062017,1332
Castelpoto,062018,1118
Castelvenere,062019,2363
Castelvetere in Val Fortore,062020,925
Cautano,062021,1889
Ceppaloni,062022,3203
Cerreto Sannita,062023,3542
Circello,062024,2105
Colle Sannita,062025,2139
Cusano Mutri,062026,3743
Dugenta,062027,2641
Durazzano,062028,2059
Faicchio,062029,3204
Foglianise,062030,3096
Foiano di Val Fortore,062031,1298
Forchia,062032,1193
Fragneto Monforte,062034,1656
Fragneto l'Abate,062033,931
Frasso Telesino,062035,1991
Ginestra Degli Schiavoni,062036,384
Guardia Sanframondi,062037,4489
Limatola,062038,4202
Melizzano,062039,1658
Moiano,062040,3998
Molinara,062041,1422
Montefalcone di Val Fortore,062042,1293
Montesarchio,062043,12939
Morcone,062044,4469
Paduli,062045,3566
Pago Veiano,062046,2180
Pannarano,062047,1964
Paolisi,062048,1943
Paupisi,062049,1414
Pesco Sannita,062050,1827
Pietraroja,062051,513
Pietrelcina,062052,2906
Ponte,062053,2391
Pontelandolfo,062054,1968
Puglianello,062055,1284
Reino,062056,1076
San Bartolomeo In Galdo,062057,4254
San Giorgio Del Sannio,062058,9650
San Giorgio La Molara,062059,2688
San Leucio del Sannio,062060,2888
San Lorenzello,062061,2095
San Lorenzo Maggiore,062062,1882
San Lupo,062063,672
San Marco Dei Cavoti,062064,2948
San Martino Sannita,062065,1147
San Nazzaro,062066,828
San Nicola Manfredi,062067,3388
San Salvatore Telesino,062068,3887
Sant'Agata de' Goti,062070,10096
Sant'Angelo a Cupolo,062071,3996
Sant'Arcangelo Trimonte,062078,465
Santa Croce del Sannio,062069,849
Sassinoro,062072,615
Solopaca,062073,3409
Telese Terme,062074,7588
Tocco Caudio,062075,1442
Torrecuso,062076,3201
Vitulano,062077,2685
