comune,n_tot,ROSSO,GIALLO,VERDE,BIANCO,pct_rosso,pct_giallo,pct_verde,pct_bianco,severity_raw,severity_mean,severity_per_100_calls,severity_tier,sample_flag
Ceppaloni,106,32,39,27,8,0.3018867924528302,0.36792452830188677,0.25471698113207547,0.07547169811320754,474,4.471698113207547,447.1698113207547,ALTA,
Arpaise,157,43,59,48,7,0.27388535031847133,0.37579617834394907,0.3057324840764331,0.044585987261146494,683,4.350318471337579,435.03184713375794,ALTA,
San Nicola Manfredi,399,108,153,113,25,0.2706766917293233,0.38345864661654133,0.2832080200501253,0.06265664160401002,1727,4.328320802005012,432.83208020050125,ALTA,
Montesarchio,381,96,163,106,16,0.25196850393700787,0.42782152230971127,0.2782152230971129,0.04199475065616798,1648,4.3254593175853016,432.5459317585302,ALTA,
Bonea,319,82,129,92,16,0.25705329153605017,0.4043887147335423,0.2884012539184953,0.050156739811912224,1372,4.300940438871473,430.09404388714734,ALTA,
Amorosi,75,19,30,24,2,0.25333333333333335,0.4,0.32,0.02666666666666667,322,4.293333333333333,429.3333333333333,ALTA,
Molinara,107,26,47,29,5,0.24299065420560748,0.4392523364485981,0.27102803738317754,0.04672897196261682,459,4.289719626168225,428.97196261682245,ALTA,
Baselice,335,81,146,97,11,0.2417910447761194,0.43582089552238806,0.28955223880597014,0.03283582089552239,1437,4.28955223880597,428.95522388059703,ALTA,
Paupisi,421,107,172,119,23,0.25415676959619954,0.4085510688836104,0.2826603325415677,0.05463182897862233,1805,4.287410926365796,428.7410926365796,ALTA,
Cerreto Sannita,47,12,18,15,2,0.2553191489361702,0.3829787234042553,0.3191489361702128,0.0425531914893617,200,4.25531914893617,425.531914893617,ALTA,SMALL_SAMPLE
Cusano Mutri,500,122,205,158,15,0.244,0.41,0.316,0.03,2127,4.254,425.4,ALTA,
Pago Veiano,228,59,85,71,13,0.25877192982456143,0.37280701754385964,0.31140350877192985,0.05701754385964912,967,4.241228070175438,424.12280701754383,ALTA,
San Marco Dei Cavoti,31,8,11,10,2,0.25806451612903225,0.3548387096774194,0.3225806451612903,0.06451612903225806,130,4.193548387096774,419.3548387096774,ALTA,SMALL_SAMPLE
Cautano,250,59,100,75,16,0.236,0.4,0.3,0.064,1038,4.152,415.2,ALTA,
Morcone,79,18,33,24,4,0.22784810126582278,0.4177215189873418,0.3037974683544304,0.05063291139240506,328,4.151898734177215,415.1898734177215,ALTA,
Fragneto L'Abate,337,77,139,105,16,0.228486646884273,0.4124629080118694,0.3115727002967359,0.04747774480712166,1398,4.148367952522255,414.8367952522255,ALTA,
Paolisi,175,38,76,53,8,0.21714285714285714,0.4342857142857143,0.3028571428571429,0.045714285714285714,722,4.1257142857142854,412.57142857142856,ALTA,
Santa Croce Del Sannio,200,46,78,65,11,0.23,0.39,0.325,0.055,821,4.105,410.50000000000006,ALTA,
San Salvatore Telesino,118,26,47,41,4,0.22033898305084745,0.3983050847457627,0.3474576271186441,0.03389830508474576,482,4.084745762711864,408.47457627118644,ALTA,
