site_id,tipo,is_fixed,fixed_commune,capex,opex,is_existing,reloc_family
FIX_001@Airola,AMB_ALS,0,Airola,0.0,0.0,1,FIX_001
FIX_001@Amorosi,AMB_ALS,0,Amorosi,0.0,0.0,1,FIX_001
FIX_001@Apice,AMB_ALS,0,Apice,0.0,0.0,1,FIX_001
FIX_001@Apollosa,AMB_ALS,0,Apollosa,0.0,0.0,1,FIX_001
FIX_001@Arpaia,AMB_ALS,0,Arpaia,0.0,0.0,1,FIX_001
FIX_001@Arpaise,AMB_ALS,0,Arpaise,0.0,0.0,1,FIX_001
FIX_001@Baselice,AMB_ALS,0,Baselice,0.0,0.0,1,FIX_001
FIX_001@Benevento,AMB_ALS,0,Benevento,0.0,0.0,1,FIX_001
FIX_001@Bonea,AMB_ALS,0,Bonea,0.0,0.0,1,FIX_001
FIX_001@Bucciano,AMB_ALS,0,Bucciano,0.0,0.0,1,FIX_001
FIX_001@Buonalbergo,AMB_ALS,0,Buonalbergo,0.0,0.0,1,FIX_001
FIX_001@Calvi,AMB_ALS,0,Calvi,0.0,0.0,1,FIX_001
FIX_001@Campolattaro,AMB_ALS,0,Campolattaro,0.0,0.0,1,FIX_001
FIX_001@Campoli Del Monte Taburno,AMB_ALS,0,Campoli Del Monte Taburno,0.0,0.0,1,FIX_001
FIX_001@Casalduni,AMB_ALS,0,Casalduni,0.0,0.0,1,FIX_001
FIX_001@Castelfranco In Miscano,AMB_ALS,0,Castelfranco In Miscano,0.0,0.0,1,FIX_001
FIX_001@Castelpagano,AMB_ALS,0,Castelpagano,0.0,0.0,1,FIX_001
FIX_001@Castelpoto,AMB_ALS,0,Castelpoto,0.0,0.0,1,FIX_001
FIX_001@Castelvenere,AMB_ALS,0,Castelvenere,0.0,0.0,1,FIX_001
FIX_001@Castelvetere In Val Fortore,AMB_ALS,0,Castelvetere In Val Fortore,0.0,0.0,1,FIX_001
FIX_001@Cautano,AMB_ALS,0,Cautano,0.0,0.0,1,FIX_001
FIX_001@Ceppaloni,AMB_ALS,0,Ceppaloni,0.0,0.0,1,FIX_001
FIX_001@Cerreto Sannita,AMB_ALS,0,Cerreto Sannita,0.0,0.0,1,FIX_001
FIX_001@Circello,AMB_ALS,0,Circello,0.0,0.0,1,FIX_001
FIX_001@Colle Sannita,AMB_ALS,0,Colle Sannita,0.0,0.0,1,FIX_001
FIX_001@Cusano Mutri,AMB_ALS,0,Cusano Mutri,0.0,0.0,1,FIX_001
FIX_001@Dugenta,AMB_ALS,0,Dugenta,0.0,0.0,1,FIX_001
FIX_001@Durazzano,AMB_ALS,0,Durazzano,0.0,0.0,1,FIX_001
FIX_001@Faicchio,AMB_ALS,0,Faicchio,0.0,0.0,1,FIX_001
FIX_001@Foglianise,AMB_ALS,0,Foglianise,0.0,0.0,1,FIX_001
FIX_001@Foiano Di Val Fortore,AMB_ALS,0,Foiano Di Val Fortore,0.0,0.0,1,FIX_001
FIX_001@Forchia,AMB_ALS,0,Forchia,0.0,0.0,1,FIX_001
FIX_001@Fragneto L'Abate,AMB_ALS,0,Fragneto L'Abate,0.0,0.0,1,FIX_001
FIX_001@Fragneto Monforte,AMB_ALS,0,Fragneto Monforte,0.0,0.0,1,FIX_001
FIX_001@Frasso Telesino,AMB_ALS,0,Frasso Telesino,0.0,0.0,1,FIX_001
FIX_001@Ginestra Degli Schiavoni,AMB_ALS,0,Ginestra Degli Schiavoni,0.0,0.0,1,FIX_001
FIX_001@Guardia Sanframondi,AMB_ALS,0,Guardia Sanframondi,0.0,0.0,1,FIX_001
FIX_001@Limatola,AMB_ALS,0,Limatola,0.0,0.0,1,FIX_001
FIX_001@Melizzano,AMB_ALS,0,Melizzano,0.0,0.0,1,FIX_001
FIX_001@Moiano,AMB_ALS,0,Moiano,0.0,0.0,1,FIX_001
FIX_001@Molinara,AMB_ALS,0,Molinara,0.0,0.0,1,FIX_001
FIX_001@Montefalcone Di Val Fortore,AMB_ALS,0,Montefalcone Di Val Fortore,0.0,0.0,1,FIX_001
FIX_001@Montesarchio,AMB_ALS,0,Montesarchio,0.0,0.0,1,FIX_001
FIX_001@Morcone,AMB_ALS,0,Morcone,0.0,0.0,1,FIX_001
FIX_001@Paduli,AMB_ALS,0,Paduli,0.0,0.0,1,FIX_001
FIX_001@Pago Veiano,AMB_ALS,0,Pago Veiano,0.0,0.0,1,FIX_001
FIX_001@Pannarano,AMB_ALS,0,Pannarano,0.0,0.0,1,FIX_001
FIX_001@Paolisi,AMB_ALS,0,Paolisi,0.0,0.0,1,FIX_001
FIX_001@Paupisi,AMB_ALS,0,Paupisi,0.0,0.0,1,FIX_001
FIX_001@Pesco Sannita,AMB_ALS,0,Pesco Sannita,0.0,0.0,1,FIX_001
FIX_001@Pietraroja,AMB_ALS,0,Pietraroja,0.0,0.0,1,FIX_001
FIX_001@Pietrelcina,AMB_ALS,0,Pietrelcina,0.0,0.0,1,FIX_001
FIX_001@Ponte,AMB_ALS,0,Ponte,0.0,0.0,1,FIX_001
FIX_001@Pontelandolfo,AMB_ALS,0,Pontelandolfo,0.0,0.0,1,FIX_001
FIX_001@Puglianello,AMB_ALS,0,Puglianello,0.0,0.0,1,FIX_001
FIX_001@Reino,AMB_ALS,0,Reino,0.0,0.0,1,FIX_001
FIX_001@San Bartolomeo In Galdo,AMB_ALS,0,San Bartolomeo In Galdo,0.0,0.0,1,FIX_001
FIX_001@San Giorgio Del Sannio,AMB_ALS,0,San Giorgio Del Sannio,0.0,0.0,1,FIX_001
FIX_001@San Giorgio La Molara,AMB_ALS,0,San Giorgio La Molara,0.0,0.0,1,FIX_001
FIX_001@San Leucio Del Sannio,AMB_ALS,0,San Leucio Del Sannio,0.0,0.0,1,FIX_001
FIX_001@San Lorenzello,AMB_ALS,0,San Lorenzello,0.0,0.0,1,FIX_001
FIX_001@San Lorenzo Maggiore,AMB_ALS,0,San Lorenzo Maggiore,0.0,0.0,1,FIX_001
FIX_001@San Lupo,AMB_ALS,0,San Lupo,0.0,0.0,1,FIX_001
FIX_001@San Marco Dei Cavoti,AMB_ALS,0,San Marco Dei Cavoti,0.0,0.0,1,FIX_001
FIX_001@San Martino Sannita,AMB_ALS,0,San Martino Sannita,0.0,0.0,1,FIX_001
FIX_001@San Nazzaro,AMB_ALS,0,San Nazzaro,0.0,0.0,1,FIX_001
FIX_001@San Nicola Manfredi,AMB_ALS,0,San Nicola Manfredi,0.0,0.0,1,FIX_001
FIX_001@San Salvatore Telesino,AMB_ALS,0,San Salvatore Telesino,0.0,0.0,1,FIX_001
FIX_001@Sant'Agata De' Goti,AMB_ALS,0,Sant'Agata De' Goti,0.0,0.0,1,FIX_001
FIX_001@Sant'Angelo A Cupolo,AMB_ALS,0,Sant'Angelo A Cupolo,0.0,0.0,1,FIX_001
FIX_001@Sant'Arcangelo Trimonte,AMB_ALS,0,Sant'Arcangelo Trimonte,0.0,0.0,1,FIX_001
FIX_001@Santa Croce Del Sannio,AMB_ALS,0,Santa Croce Del Sannio,0.0,0.0,1,FIX_001
FIX_001@Sassinoro,AMB_ALS,0,Sassinoro,0.0,0.0,1,FIX_001
FIX_001@Solopaca,AMB_ALS,0,Solopaca,0.0,0.0,1,FIX_001
FIX_001@Telese Terme,AMB_ALS,0,Telese Terme,0.0,0.0,1,FIX_001
FIX_001@Tocco Caudio,AMB_ALS,0,Tocco Caudio,0.0,0.0,1,FIX_001
FIX_001@Torrecuso,AMB_ALS,0,Torrecuso,0.0,0.0,1,FIX_001
FIX_001@Vitulano,AMB_ALS,0,Vitulano,0.0,0.0,1,FIX_001
FIX_002@Airola,AMB_ALS,0,Airola,0.0,0.0,1,FIX_002
FIX_002@Amorosi,AMB_ALS,0,Amorosi,0.0,0.0,1,FIX_002
FIX_002@Apice,AMB_ALS,0,Apice,0.0,0.0,1,FIX_002
FIX_002@Apollosa,AMB_ALS,0,Apollosa,0.0,0.0,1,FIX_002
FIX_002@Arpaia,AMB_ALS,0,Arpaia,0.0,0.0,1,FIX_002
FIX_002@Arpaise,AMB_ALS,0,Arpaise,0.0,0.0,1,FIX_002
FIX_002@Baselice,AMB_ALS,0,Baselice,0.0,0.0,1,FIX_002
FIX_002@Benevento,AMB_ALS,0,Benevento,0.0,0.0,1,FIX_002
FIX_002@Bonea,AMB_ALS,0,Bonea,0.0,0.0,1,FIX_002
FIX_002@Bucciano,AMB_ALS,0,Bucciano,0.0,0.0,1,FIX_002
FIX_002@Buonalbergo,AMB_ALS,0,Buonalbergo,0.0,0.0,1,FIX_002
FIX_002@Calvi,AMB_ALS,0,Calvi,0.0,0.0,1,FIX_002
FIX_002@Campolattaro,AMB_ALS,0,Campolattaro,0.0,0.0,1,FIX_002
FIX_002@Campoli Del Monte Taburno,AMB_ALS,0,Campoli Del Monte Taburno,0.0,0.0,1,FIX_002
FIX_002@Casalduni,AMB_ALS,0,Casalduni,0.0,0.0,1,FIX_002
FIX_002@Castelfranco In Miscano,AMB_ALS,0,Castelfranco In Miscano,0.0,0.0,1,FIX_002
FIX_002@Castelpagano,AMB_ALS,0,Castelpagano,0.0,0.0,1,FIX_002
FIX_002@Castelpoto,AMB_ALS,0,Castelpoto,0.0,0.0,1,FIX_002
FIX_002@Castelvenere,AMB_ALS,0,Castelvenere,0.0,0.0,1,FIX_002
FIX_002@Castelvetere In Val Fortore,AMB_ALS,0,Castelvetere In Val Fortore,0.0,0.0,1,FIX_002
FIX_002@Cautano,AMB_ALS,0,Cautano,0.0,0.0,1,FIX_002
FIX_002@Ceppaloni,AMB_ALS,0,Ceppaloni,0.0,0.0,1,FIX_002
FIX_002@Cerreto Sannita,AMB_ALS,0,Cerreto Sannita,0.0,0.0,1,FIX_002
FIX_002@Circello,AMB_ALS,0,Circello,0.0,0.0,1,FIX_002
FIX_002@Colle Sannita,AMB_ALS,0,Colle Sannita,0.0,0.0,1,FIX_002
FIX_002@Cusano Mutri,AMB_ALS,0,Cusano Mutri,0.0,0.0,1,FIX_002
FIX_002@Dugenta,AMB_ALS,0,Dugenta,0.0,0.0,1,FIX_002
FIX_002@Durazzano,AMB_ALS,0,Durazzano,0.0,0.0,1,FIX_002
FIX_002@Faicchio,AMB_ALS,0,Faicchio,0.0,0.0,1,FIX_002
FIX_002@Foglianise,AMB_ALS,0,Foglianise,0.0,0.0,1,FIX_002
FIX_002@Foiano Di Val Fortore,AMB_ALS,0,Foiano Di Val Fortore,0.0,0.0,1,FIX_002
FIX_002@Forchia,AMB_ALS,0,Forchia,0.0,0.0,1,FIX_002
FIX_002@Fragneto L'Abate,AMB_ALS,0,Fragneto L'Abate,0.0,0.0,1,FIX_002
FIX_002@Fragneto Monforte,AMB_ALS,0,Fragneto Monforte,0.0,0.0,1,FIX_002
FIX_002@Frasso Telesino,AMB_ALS,0,Frasso Telesino,0.0,0.0,1,FIX_002
FIX_002@Ginestra Degli Schiavoni,AMB_ALS,0,Ginestra Degli Schiavoni,0.0,0.0,1,FIX_002
FIX_002@Guardia Sanframondi,AMB_ALS,0,Guardia Sanframondi,0.0,0.0,1,FIX_002
FIX_002@Limatola,AMB_ALS,0,Limatola,0.0,0.0,1,FIX_002
FIX_002@Melizzano,AMB_ALS,0,Melizzano,0.0,0.0,1,FIX_002
FIX_002@Moiano,AMB_ALS,0,Moiano,0.0,0.0,1,FIX_002
FIX_002@Molinara,AMB_ALS,0,Molinara,0.0,0.0,1,FIX_002
FIX_002@Montefalcone Di Val Fortore,AMB_ALS,0,Montefalcone Di Val Fortore,0.0,0.0,1,FIX_002
FIX_002@Montesarchio,AMB_ALS,0,Montesarchio,0.0,0.0,1,FIX_002
FIX_002@Morcone,AMB_ALS,0,Morcone,0.0,0.0,1,FIX_002
FIX_002@Paduli,AMB_ALS,0,Paduli,0.0,0.0,1,FIX_002
FIX_002@Pago Veiano,AMB_ALS,0,Pago Veiano,0.0,0.0,1,FIX_002
FIX_002@Pannarano,AMB_ALS,0,Pannarano,0.0,0.0,1,FIX_002
FIX_002@Paolisi,AMB_ALS,0,Paolisi,0.0,0.0,1,FIX_002
FIX_002@Paupisi,AMB_ALS,0,Paupisi,0.0,0.0,1,FIX_002
FIX_002@Pesco Sannita,AMB_ALS,0,Pesco Sannita,0.0,0.0,1,FIX_002
FIX_002@Pietraroja,AMB_ALS,0,Pietraroja,0.0,0.0,1,FIX_002
FIX_002@Pietrelcina,AMB_ALS,0,Pietrelcina,0.0,0.0,1,FIX_002
FIX_002@Ponte,AMB_ALS,0,Ponte,0.0,0.0,1,FIX_002
FIX_002@Pontelandolfo,AMB_ALS,0,Pontelandolfo,0.0,0.0,1,FIX_002
FIX_002@Puglianello,AMB_ALS,0,Puglianello,0.0,0.0,1,FIX_002
FIX_002@Reino,AMB_ALS,0,Reino,0.0,0.0,1,FIX_002
FIX_002@San Bartolomeo In Galdo,AMB_ALS,0,San Bartolomeo In Galdo,0.0,0.0,1,FIX_002
