comune,site_id,lat,lon
Airola,AMB_ALS_AIROLA,41.0610225,14.5584304
Limatola,AMB_ALS_LIMATOLA,41.140817,14.39293
San Giorgio Del Sannio,AMB_ALS_SAN_GIORGIO_DEL_SANNIO,41.0619659,14.8538405
San Salvatore Telesino,AMB_ALS_SAN_SALVATORE_TELESINO,41.236019,14.499131
Benevento,AMB_ILS_BENEVENTO,41.2476307,14.7057054
Cerreto Sannita,AMB_ILS_CERRETO_SANNITA,41.2844718,14.5589453
Ginestra Degli Schiavoni,AMB_ILS_GINESTRA_DEGLI_SCHIAVONI,41.279924,15.043742
Morcone,AMB_ILS_MORCONE,41.3411011,14.6636259
San Bartolomeo In Galdo,AMB_ILS_SAN_BARTOLOMEO_IN_GALDO,41.4098544,15.0153973
Vitulano,AMB_ILS_VITULANO,41.1739788,14.6456236
Benevento,AUTO_MED_BENEVENTO,41.2476307,14.7057054
San Marco Dei Cavoti,AUTO_MED_SAN_MARCO_DEI_CAVOTI,41.3106067,14.8789437
Torrecuso,AUTO_MED_TORRECUSO,41.18974,14.6800554
Cerreto Sannita,PSAUT_CERRETO_SANNITA,41.2844718,14.5589453
San Bartolomeo In Galdo,PSAUT_SAN_BARTOLOMEO_IN_GALDO,41.4098544,15.0153973
Airola,POT_AIROLA,41.0610225,14.5584304
Amorosi,POT_AMOROSI,41.2029177,14.461636
Apice,POT_APICE,41.1184185,14.9313689
Apollosa,POT_APOLLOSA,41.094118,14.705337
Arpaia,POT_ARPAIA,41.0361265,14.5469737
Arpaise,POT_ARPAISE,41.0298168,14.744083
Baselice,POT_BASELICE,41.393726,14.972839
Benevento,POT_BENEVENTO,41.2476307,14.7057054
Bonea,POT_BONEA,41.0752056,14.6180012
Bucciano,POT_BUCCIANO,41.0761134,14.5723371
Buonalbergo,POT_BUONALBERGO,41.2230773,14.9798206
Calvi,POT_CALVI,41.0719001,14.8657158
Campolattaro,POT_CAMPOLATTARO,41.2869837,14.7298739
Campoli del Monte Taburno,POT_CAMPOLI_DEL_MONTE_TABURNO,41.131518,14.645935
Casalduni,POT_CASALDUNI,41.2602289,14.6960905
Castelfranco in Miscano,POT_CASTELFRANCO_IN_MISCANO,41.2971923,15.0858356
Castelpagano,POT_CASTELPAGANO,41.401725,14.808035
Castelpoto,POT_CASTELPOTO,41.1409274,14.701937
Castelvenere,POT_CASTELVENERE,41.23482,14.546532
Castelvetere in Val Fortore,POT_CASTELVETERE_IN_VAL_FORTORE,41.4419648,14.9395633
Cautano,POT_CAUTANO,41.1493126,14.6380825
Ceppaloni,POT_CEPPALONI,41.0445333,14.7600508
Circello,POT_CIRCELLO,41.3575184,14.8090559
Colle Sannita,POT_COLLE_SANNITA,41.3646832,14.8332315
Cusano Mutri,POT_CUSANO_MUTRI,41.3390819,14.5073183
Dugenta,POT_DUGENTA,41.132217,14.452431
Durazzano,POT_DURAZZANO,41.0624811,14.4474777
Faicchio,POT_FAICCHIO,41.2780306,14.4787446
Foglianise,POT_FOGLIANISE,41.1601328,14.6713224
Foiano di Val Fortore,POT_FOIANO_DI_VAL_FORTORE,41.351825,14.97734
Forchia,POT_FORCHIA,41.0302254,14.537343
Fragneto Monforte,POT_FRAGNETO_MONFORTE,41.2460387,14.760604
Fragneto l'Abate,POT_FRAGNETO_L'ABATE,41.256187,14.7824256
Frasso Telesino,POT_FRASSO_TELESINO,41.156818,14.527832
Ginestra degli Schiavoni,POT_GINESTRA_DEGLI_SCHIAVONI,41.279924,15.043742
Guardia Sanframondi,POT_GUARDIA_SANFRAMONDI,41.2563533,14.5995267
Limatola,POT_LIMATOLA,41.140817,14.39293
Melizzano,POT_MELIZZANO,41.1605703,14.5053103
Moiano,POT_MOIANO,41.0795121,14.5429198
Molinara,POT_MOLINARA,41.2906297,14.9103428
Montefalcone di Val Fortore,POT_MONTEFALCONE_DI_VAL_FORTORE,41.325991,15.0090586
Montesarchio,POT_MONTESARCHIO,41.0639234,14.6397875
Morcone,POT_MORCONE,41.3411011,14.6636259
Paduli,POT_PADULI,41.1672025,14.8835971
Pago Veiano,POT_PAGO_VEIANO,41.2452922,14.8671548
Pannarano,POT_PANNARANO,41.010215,14.7033415
Paolisi,POT_PAOLISI,41.0370844,14.5781524
Paupisi,POT_PAUPISI,41.19532,14.665235
Pesco Sannita,POT_PESCO_SANNITA,41.2335942,14.8113333
Pietraroja,POT_PIETRAROJA,41.347822,14.54963
Pietrelcina,POT_PIETRELCINA,41.199421,14.844139
Ponte,POT_PONTE,41.214732,14.6963272
Pontelandolfo,POT_PONTELANDOLFO,41.2871143,14.6922875
Puglianello,POT_PUGLIANELLO,41.2233762,14.4507163
Reino,POT_REINO,41.2919029,14.8238235
San Bartolomeo in Galdo,POT_SAN_BARTOLOMEO_IN_GALDO,41.4098544,15.0153973
San Giorgio La Molara,POT_SAN_GIORGIO_LA_MOLARA,41.2709083,14.9200832
San Giorgio del Sannio,POT_SAN_GIORGIO_DEL_SANNIO,41.0619659,14.8538405
San Leucio del Sannio,POT_SAN_LEUCIO_DEL_SANNIO,41.0748002,14.7573133
San Lorenzello,POT_SAN_LORENZELLO,41.2773665,14.5428321
San Lorenzo Maggiore,POT_SAN_LORENZO_MAGGIORE,41.2512272,14.6269436
San Lupo,POT_SAN_LUPO,41.2601054,14.6356287
San Marco dei Cavoti,POT_SAN_MARCO_DEI_CAVOTI,41.3106067,14.8789437
San Martino Sannita,POT_SAN_MARTINO_SANNITA,41.066218,14.83584
San Nazzaro,POT_SAN_NAZZARO,41.0523895,14.8563559
San Nicola Manfredi,POT_SAN_NICOLA_MANFREDI,41.0717684,14.8245336
San Salvatore Telesino,POT_SAN_SALVATORE_TELESINO,41.236019,14.499131
Sant'Agata de' Goti,POT_SANT'AGATA_DE'_GOTI,41.0885378,14.5037928
Sant'Angelo a Cupolo,POT_SANT'ANGELO_A_CUPOLO,41.069118,14.80374
Sant'Arcangelo Trimonte,POT_SANT'ARCANGELO_TRIMONTE,41.1655125,14.9390381
Santa Croce del Sannio,POT_SANTA_CROCE_DEL_SANNIO,41.3874559,14.732203
Sassinoro,POT_SASSINORO,41.3742777,14.6640222
Solopaca,POT_SOLOPACA,41.1945665,14.5533628
Telese Terme,POT_TELESE_TERME,41.2164141,14.5270004
Tocco Caudio,POT_TOCCO_CAUDIO,41.1251593,14.6342676
Torrecuso,POT_TORRECUSO,41.18974,14.6800554
Vitulano,POT_VITULANO,41.1739788,14.6456236
