comune,T_ROSSO,T_GIALLO,T_VERDE,T_BIANCO
Airola,8,20,30,45
Amorosi,6,18,28,43
Apice,7,19,29,44
Apollosa,7,19,29,44
Arpaia,7,19,29,44
Arpaise,6,18,28,43
Baselice,6,18,28,43
Benevento,8,20,30,45
Bonea,6,18,28,43
Bucciano,8,20,30,45
Buonalbergo,7,19,29,44
Calvi,6,18,28,43
Campolattaro,7,19,29,44
Campoli Del Monte Taburno,6,18,28,43
Casalduni,8,20,30,45
Castelfranco In Miscano,8,20,30,45
Castelpagano,7,19,29,44
Castelpoto,7,19,29,44
Castelvenere,8,20,30,45
Castelvetere In Val Fortore,8,20,30,45
Cautano,6,18,28,43
Ceppaloni,6,18,28,43
Cerreto Sannita,6,18,28,43
Circello,7,19,29,44
Colle Sannita,7,19,29,44
Cusano Mutri,6,18,28,43
Dugenta,8,20,30,45
Durazzano,8,20,30,45
Faicchio,7,19,29,44
Foglianise,7,19,29,44
Foiano Di Val Fortore,7,19,29,44
Forchia,7,19,29,44
Fragneto L'Abate,6,18,28,43
Fragneto Monforte,7,19,29,44
Frasso Telesino,7,19,29,44
Ginestra Degli Schiavoni,7,19,29,44
Guardia Sanframondi,7,19,29,44
Limatola,8,20,30,45
Melizzano,6,18,28,43
Moiano,8,20,30,45
Molinara,6,18,28,43
Montefalcone Di Val Fortore,7,19,29,44
Montesarchio,6,18,28,43
Morcone,6,18,28,43
Paduli,7,19,29,44
Pago Veiano,6,18,28,43
Pannarano,8,20,30,45
Paolisi,6,18,28,43
Paupisi,6,18,28,43
Pesco Sannita,8,20,30,45
Pietraroja,8,20,30,45
Pietrelcina,7,19,29,44
Ponte,7,19,29,44
Pontelandolfo,8,20,30,45
Puglianello,7,19,29,44
Reino,7,19,29,44
San Bartolomeo In Galdo,7,19,29,44
San Giorgio Del Sannio,8,20,30,45
San Giorgio La Molara,7,19,29,44
San Leucio Del Sannio,7,19,29,44
San Lorenzello,7,19,29,44
San Lorenzo Maggiore,7,19,29,44
San Lupo,8,20,30,45
San Marco Dei Cavoti,6,18,28,43
San Martino Sannita,7,19,29,44
San Nazzaro,7,19,29,44
San Nicola Manfredi,6,18,28,43
San Salvatore Telesino,6,18,28,43
Sant'Agata De' Goti,8,20,30,45
Sant'Angelo A Cupolo,8,20,30,45
Sant'Arcangelo Trimonte,7,19,29,44
Santa Croce Del Sannio,6,18,28,43
Sassinoro,6,18,28,43
Solopaca,7,19,29,44
Telese Terme,7,19,29,44
Tocco Caudio,7,19,29,44
Torrecuso,8,20,30,45
Vitulano,8,20,30,45
