comune,codice,chiamate,covered,uncovered
Airola,ROSSO,14.0,True,0.0
Airola,GIALLO,16.0,True,0.0
Airola,VERDE,63.0,True,0.0
Airola,BIANCO,23.0,True,0.0
Limatola,ROSSO,14.0,True,0.0
Limatola,GIALLO,52.0,True,0.0
Limatola,VERDE,98.0,True,0.0
Limatola,BIANCO,34.0,True,0.0
San Giorgio Del Sannio,ROSSO,24.0,True,0.0
San Giorgio Del Sannio,GIALLO,44.0,True,0.0
San Giorgio Del Sannio,VERDE,133.0,True,0.0
San Giorgio Del Sannio,BIANCO,37.0,True,0.0
San Salvatore Telesino,ROSSO,33.8,True,0.0
San Salvatore Telesino,GIALLO,61.1,True,0.0
San Salvatore Telesino,VERDE,53.3,True,0.0
San Salvatore Telesino,BIANCO,5.2,True,0.0
Benevento,ROSSO,29.0,True,0.0
Benevento,GIALLO,84.0,True,0.0
Benevento,VERDE,163.0,True,0.0
Benevento,BIANCO,46.0,True,0.0
Cerreto Sannita,ROSSO,15.6,True,0.0
Cerreto Sannita,GIALLO,23.4,True,0.0
Cerreto Sannita,VERDE,19.5,True,0.0
Cerreto Sannita,BIANCO,2.6,True,0.0
Ginestra Degli Schiavoni,ROSSO,28.6,True,0.0
Ginestra Degli Schiavoni,GIALLO,102.3,True,0.0
Ginestra Degli Schiavoni,VERDE,112.2,True,0.0
Ginestra Degli Schiavoni,BIANCO,27.5,True,0.0
Morcone,ROSSO,23.4,True,0.0
Morcone,GIALLO,42.9,True,0.0
Morcone,VERDE,31.2,True,0.0
Morcone,BIANCO,5.2,True,0.0
San Bartolomeo In Galdo,ROSSO,34.1,True,0.0
San Bartolomeo In Galdo,GIALLO,61.6,True,0.0
San Bartolomeo In Galdo,VERDE,74.8,True,0.0
San Bartolomeo In Galdo,BIANCO,20.9,True,0.0
Vitulano,ROSSO,37.0,True,0.0
Vitulano,GIALLO,122.0,True,0.0
Vitulano,VERDE,275.0,True,0.0
Vitulano,BIANCO,80.0,True,0.0
San Marco Dei Cavoti,ROSSO,10.4,True,0.0
San Marco Dei Cavoti,GIALLO,14.3,True,0.0
San Marco Dei Cavoti,VERDE,13.0,True,0.0
San Marco Dei Cavoti,BIANCO,2.6,True,0.0
Torrecuso,ROSSO,31.0,True,0.0
Torrecuso,GIALLO,84.0,True,0.0
Torrecuso,VERDE,181.0,True,0.0
Torrecuso,BIANCO,64.0,True,0.0
Amorosi,ROSSO,24.7,True,0.0
Amorosi,GIALLO,39.0,True,0.0
Amorosi,VERDE,31.2,True,0.0
Amorosi,BIANCO,2.6,True,0.0
Apice,ROSSO,73.7,True,0.0
Apice,GIALLO,146.3,True,0.0
Apice,VERDE,149.6,True,0.0
Apice,BIANCO,62.7,True,0.0
Apollosa,ROSSO,42.9,True,0.0
Apollosa,GIALLO,85.8,True,0.0
Apollosa,VERDE,95.7,True,0.0
Apollosa,BIANCO,13.2,True,0.0
Arpaia,ROSSO,11.0,True,0.0
Arpaia,GIALLO,26.4,True,0.0
Arpaia,VERDE,25.3,True,0.0
Arpaia,BIANCO,8.8,True,0.0
Arpaise,ROSSO,55.9,True,0.0
Arpaise,GIALLO,76.7,True,0.0
Arpaise,VERDE,62.4,True,0.0
Arpaise,BIANCO,9.1,True,0.0
Baselice,ROSSO,105.3,True,0.0
Baselice,GIALLO,189.8,True,0.0
Baselice,VERDE,126.1,True,0.0
Baselice,BIANCO,14.3,True,0.0
Bonea,ROSSO,106.6,True,0.0
Bonea,GIALLO,167.7,True,0.0
Bonea,VERDE,119.6,True,0.0
Bonea,BIANCO,20.8,True,0.0
Bucciano,ROSSO,19.0,True,0.0
Bucciano,GIALLO,67.0,True,0.0
Bucciano,VERDE,101.0,True,0.0
Bucciano,BIANCO,40.0,True,0.0
