gen,best_unc,best_cost,cov_pct,mean_unc,mean_cost,p95_unc,p95_cost,buys_AMB_ILS,buys_AMB_ALS,buys_AUTO_MED
1,6794.0,3500000.0,95.89357381171124,36186.3,2398333.3333333335,75907.2,3754999.9999999995,5,5,1
2,872.0,5900000.0,99.47294618248634,23970.75,3933333.3333333335,56579.19999999999,5905000.0,9,9,1
3,872.0,5900000.0,99.47294618248634,14110.716666666667,4682500.0,54433.999999999985,5907500.0,9,9,1
4,229.0,6600000.0,99.86158793095112,7688.45,5389166.666666667,20032.249999999996,6955000.0,11,11,0
5,0.0,8750000.0,100.0,5244.733333333334,6077500.0,20886.849999999995,7512499.999999999,12,14,1
6,0.0,8400000.0,100.0,5477.783333333334,6716666.666666667,15988.699999999993,8352500.0,9,16,0
7,0.0,7850000.0,100.0,4796.283333333334,6992500.0,16098.599999999991,8352500.0,8,11,0
8,0.0,5850000.0,100.0,5855.65,6987500.0,20324.499999999924,8067499.999999999,8,11,0
9,0.0,5850000.0,100.0,7590.95,6778333.333333333,46355.35,8202500.0,7,11,0
10,0.0,5600000.0,100.0,8452.783333333333,6630000.0,44803.95,8252500.0,7,11,0
11,0.0,5600000.0,100.0,4329.533333333334,6560833.333333333,9994.049999999974,7905000.0,7,11,0
12,0.0,5600000.0,100.0,6464.8,6651666.666666667,45802.399999999994,8300000.0,7,11,0
13,0.0,5600000.0,100.0,10450.25,6510000.0,46399.24999999999,7964999.999999999,7,11,0
14,0.0,5600000.0,100.0,7696.2,6238333.333333333,26038.74999999994,7769999.999999999,7,11,0
15,0.0,5600000.0,100.0,3601.133333333333,6390833.333333333,12473.799999999996,7717499.999999999,7,11,0
16,0.0,5600000.0,100.0,5390.966666666666,6329166.666666667,19239.199999999997,7450000.0,7,11,0
17,0.0,5600000.0,100.0,5259.033333333334,6601666.666666667,19125.44999999992,8167499.999999999,4,12,0
18,0.0,5200000.0,100.0,6810.383333333333,6539166.666666667,45848.799999999996,7805000.0,4,12,0
19,0.0,5200000.0,100.0,6172.533333333334,6505000.0,45040.299999999996,8012499.999999999,4,12,0
20,0.0,5200000.0,100.0,7547.15,6445000.0,44672.0,7805000.0,4,12,0
21,0.0,5200000.0,100.0,3674.133333333333,6313333.333333333,13742.0,8162499.999999999,4,12,0
22,0.0,5200000.0,100.0,6414.233333333334,6320833.333333333,46332.2,7650000.0,4,12,0
23,0.0,5200000.0,100.0,9653.633333333333,6202500.0,47703.14999999999,7805000.0,4,12,0
24,0.0,5200000.0,100.0,8760.366666666667,6330833.333333333,49977.2,7652500.0,4,12,0
25,0.0,5200000.0,100.0,7930.5,6505000.0,47863.84999999999,7659999.999999999,4,12,0
26,0.0,5200000.0,100.0,6594.65,6445000.0,46121.99999999999,8117499.999999999,4,12,0
27,0.0,5200000.0,100.0,5475.2,6102500.0,14869.349999999999,7657500.0,4,12,0
28,0.0,5200000.0,100.0,8199.133333333333,6070833.333333333,44658.65,7852500.0,8,9,0
29,0.0,5150000.0,100.0,11052.566666666668,6396666.666666667,48745.94999999998,8252500.0,8,9,0
30,0.0,5150000.0,100.0,8015.45,6426666.666666667,45022.55,8114999.999999999,8,9,0
