site_id,tipo,host_commune
S02,AUTO_MED,Comune_04
S10,AMB_ILS,
S11,AMB_ALS,
S01,AMB_ALS,Comune_11
S03,AMB_ILS,Comune_12
S04,AMB_ILS,Comune_13
S05,AMB_ILS,Comune_02
S06,AMB_ILS,Comune_17
S07,AMB_ALS,Comune_13
S08,AMB_ALS,Comune_05
S09,AMB_ILS,Comune_01
S12,AMB_ILS,Comune_07
BUY_AMB_ILS_001,AMB_ILS,Comune_03
BUY_AMB_ILS_002,AMB_ILS,Comune_06
BUY_AMB_ILS_003,AMB_ILS,Comune_20
BUY_AMB_ALS_004,AMB_ALS,Comune_17
BUY_AMB_ALS_005,AMB_ALS,Comune_01
BUY_AMB_ALS_006,AMB_ALS,Comune_02
BUY_AMB_ALS_007,AMB_ALS,Comune_03
BUY_AMB_ALS_008,AMB_ALS,Comune_06
BUY_AMB_ALS_009,AMB_ALS,Comune_07
BUY_AMB_ALS_010,AMB_ALS,Comune_12
BUY_AMB_ALS_011,AMB_ALS,Comune_20
