origin_comune,dest_comune,distance_km,travel_time_min
Comune_01,Comune_01,0.0,0.0
Comune_01,Comune_02,70.41,121.0
Comune_01,Comune_03,47.0,83.96
Comune_01,Comune_04,57.769,104.72
Comune_01,Comune_05,85.1,132.46
Comune_01,Comune_06,59.623,110.51
Comune_01,Comune_07,38.456,51.17
Comune_01,Comune_08,13.89,24.28
Comune_01,Comune_09,18.228,29.09
Comune_01,Comune_10,39.627,66.2
Comune_01,Comune_11,64.89,100.96
Comune_01,Comune_12,65.497,111.21
Comune_01,Comune_13,34.345,57.82
Comune_01,Comune_14,11.447,14.23
Comune_01,Comune_15,28.749,48.21
Comune_01,Comune_16,77.288,122.35
Comune_01,Comune_17,19.769,33.35
Comune_01,Comune_18,42.653,73.55
Comune_01,Comune_19,76.092,127.94
Comune_01,Comune_20,30.419,51.27
Comune_02,Comune_01,70.41,121.0
Comune_02,Comune_02,0.0,0.0
Comune_02,Comune_03,72.891,124.89
Comune_02,Comune_04,37.246,59.0
Comune_02,Comune_05,18.017,27.1
Comune_02,Comune_06,78.162,145.09
Comune_02,Comune_07,46.441,74.7
Comune_02,Comune_08,65.609,105.01
Comune_02,Comune_09,52.356,84.77
Comune_02,Comune_10,50.898,76.77
Comune_02,Comune_11,69.084,131.26
Comune_02,Comune_12,42.243,69.67
Comune_02,Comune_13,63.952,117.61
Comune_02,Comune_14,77.045,109.41
Comune_02,Comune_15,69.362,112.45
Comune_02,Comune_16,15.464,23.74
Comune_02,Comune_17,53.1,94.8
Comune_02,Comune_18,65.41,122.93
Comune_02,Comune_19,37.166,58.12
Comune_02,Comune_20,91.544,141.23
Comune_03,Comune_01,47.0,83.96
Comune_03,Comune_02,72.891,124.89
Comune_03,Comune_03,0.0,0.0
Comune_03,Comune_04,38.748,80.07
Comune_03,Comune_05,78.732,130.94
Comune_03,Comune_06,12.627,22.79
Comune_03,Comune_07,27.596,40.87
Comune_03,Comune_08,58.086,103.11
Comune_03,Comune_09,43.239,71.94
Comune_03,Comune_10,22.567,29.84
Comune_03,Comune_11,21.55,37.3
Comune_03,Comune_12,40.383,66.47
Comune_03,Comune_13,14.072,24.96
Comune_03,Comune_14,40.245,68.39
Comune_03,Comune_15,18.313,32.0
Comune_03,Comune_16,69.857,121.0
Comune_03,Comune_17,53.603,87.36
Comune_03,Comune_18,7.815,12.36
Comune_03,Comune_19,53.97,81.78
Comune_03,Comune_20,37.027,60.22
Comune_04,Comune_01,57.769,104.72
Comune_04,Comune_02,37.246,59.0
Comune_04,Comune_03,38.748,80.07
Comune_04,Comune_04,0.0,0.0
Comune_04,Comune_05,40.101,61.3
Comune_04,Comune_06,41.611,77.4
Comune_04,Comune_07,19.913,36.18
Comune_04,Comune_08,60.87,86.37
Comune_04,Comune_09,41.974,59.63
Comune_04,Comune_10,21.232,40.92
Comune_04,Comune_11,31.84,51.23
Comune_04,Comune_12,8.895,13.29
Comune_04,Comune_13,34.519,61.7
Comune_04,Comune_14,58.858,80.68
Comune_04,Comune_15,42.223,72.67
Comune_04,Comune_16,31.31,52.96
Comune_04,Comune_17,49.709,90.14
Comune_04,Comune_18,32.385,57.9
Comune_04,Comune_19,18.612,33.57
Comune_04,Comune_20,67.038,99.75
Comune_05,Comune_01,85.1,132.46
Comune_05,Comune_02,18.017,27.1
Comune_05,Comune_03,78.732,130.94
Comune_05,Comune_04,40.101,61.3
Comune_05,Comune_05,0.0,0.0
Comune_05,Comune_06,81.311,125.85
Comune_05,Comune_07,55.282,87.61
Comune_05,Comune_08,81.905,142.4
Comune_05,Comune_09,66.875,115.69
Comune_05,Comune_10,58.773,107.79
Comune_05,Comune_11,69.903,122.72
Comune_05,Comune_12,41.389,64.92
Comune_05,Comune_13,72.509,124.27
Comune_05,Comune_14,90.361,155.81
Comune_05,Comune_15,79.15,135.13
Comune_05,Comune_16,8.924,14.99
Comune_05,Comune_17,69.235,105.84
Comune_05,Comune_18,71.982,116.55
Comune_05,Comune_19,31.123,55.79
Comune_05,Comune_20,102.922,168.02
Comune_06,Comune_01,59.623,110.51
Comune_06,Comune_02,78.162,145.09
Comune_06,Comune_03,12.627,22.79
Comune_06,Comune_04,41.611,77.4
Comune_06,Comune_05,81.311,125.85
Comune_06,Comune_06,0.0,0.0
Comune_06,Comune_07,36.114,55.54
Comune_06,Comune_08,70.524,118.59
Comune_06,Comune_09,54.974,91.15
Comune_06,Comune_10,31.023,60.36
Comune_06,Comune_11,14.151,26.75
Comune_06,Comune_12,40.479,77.92
Comune_06,Comune_13,26.135,34.68
Comune_06,Comune_14,52.713,85.9
Comune_06,Comune_15,30.936,50.31
Comune_06,Comune_16,72.706,132.18
Comune_06,Comune_17,65.403,115.46
Comune_06,Comune_18,18.354,29.37
Comune_06,Comune_19,53.401,90.08
Comune_06,Comune_20,47.557,75.36
Comune_07,Comune_01,38.456,51.17
Comune_07,Comune_02,46.441,74.7
Comune_07,Comune_03,27.596,40.87
Comune_07,Comune_04,19.913,36.18
Comune_07,Comune_05,55.282,87.61
Comune_07,Comune_06,36.114,55.54
Comune_07,Comune_07,0.0,0.0
Comune_07,Comune_08,43.553,61.62
Comune_07,Comune_09,24.679,47.89
Comune_07,Comune_10,5.131,8.86
Comune_07,Comune_11,33.336,44.08
Comune_07,Comune_12,27.087,39.56
Comune_07,Comune_13,17.56,22.03
Comune_07,Comune_14,38.945,77.43
Comune_07,Comune_15,23.88,33.68
Comune_07,Comune_16,46.437,77.69
Comune_07,Comune_17,34.174,56.98
Comune_07,Comune_18,19.794,35.27
Comune_07,Comune_19,38.525,49.77
Comune_07,Comune_20,48.14,79.04
Comune_08,Comune_01,13.89,24.28
Comune_08,Comune_02,65.609,105.01
Comune_08,Comune_03,58.086,103.11
Comune_08,Comune_04,60.87,86.37
Comune_08,Comune_05,81.905,142.4
Comune_08,Comune_06,70.524,118.59
Comune_08,Comune_07,43.553,61.62
Comune_08,Comune_08,0.0,0.0
Comune_08,Comune_09,19.025,28.76
Comune_08,Comune_10,46.16,65.82
Comune_08,Comune_11,73.848,144.29
Comune_08,Comune_12,69.354,92.99
Comune_08,Comune_13,44.465,74.07
Comune_08,Comune_14,25.301,43.13
Comune_08,Comune_15,40.44,75.3
Comune_08,Comune_16,74.94,122.81
Comune_08,Comune_17,12.685,20.0
Comune_08,Comune_18,52.636,99.95
Comune_08,Comune_19,78.164,128.38
Comune_08,Comune_20,44.162,75.54
Comune_09,Comune_01,18.228,29.09
Comune_09,Comune_02,52.356,84.77
Comune_09,Comune_03,43.239,71.94
Comune_09,Comune_04,41.974,59.63
Comune_09,Comune_05,66.875,115.69
Comune_09,Comune_06,54.974,91.15
Comune_09,Comune_07,24.679,47.89
Comune_09,Comune_08,19.025,28.76
Comune_09,Comune_09,0.0,0.0
Comune_09,Comune_10,27.73,47.3
Comune_09,Comune_11,56.275,101.5
Comune_09,Comune_12,50.37,88.58
Comune_09,Comune_13,29.17,39.98
Comune_09,Comune_14,25.277,42.02
Comune_09,Comune_15,28.069,50.15
Comune_09,Comune_16,59.117,99.46
Comune_09,Comune_17,10.433,15.74
Comune_09,Comune_18,36.625,59.17
Comune_09,Comune_19,59.621,108.65
Comune_09,Comune_20,42.338,79.3
Comune_10,Comune_01,39.627,66.2
Comune_10,Comune_02,50.898,76.77
Comune_10,Comune_03,22.567,29.84
Comune_10,Comune_04,21.232,40.92
Comune_10,Comune_05,58.773,107.79
Comune_10,Comune_06,31.023,60.36
Comune_10,Comune_07,5.131,8.86
Comune_10,Comune_08,46.16,65.82
Comune_10,Comune_09,27.73,47.3
Comune_10,Comune_10,0.0,0.0
Comune_10,Comune_11,28.991,50.8
Comune_10,Comune_12,27.113,45.91
Comune_10,Comune_13,13.76,20.7
Comune_10,Comune_14,38.612,63.82
Comune_10,Comune_15,21.051,36.27
Comune_10,Comune_16,49.866,74.74
Comune_10,Comune_17,37.701,70.68
Comune_10,Comune_18,14.799,26.4
Comune_10,Comune_19,39.562,65.49
Comune_10,Comune_20,45.818,75.74
Comune_11,Comune_01,64.89,100.96
Comune_11,Comune_02,69.084,131.26
Comune_11,Comune_03,21.55,37.3
Comune_11,Comune_04,31.84,51.23
Comune_11,Comune_05,69.903,122.72
Comune_11,Comune_06,14.151,26.75
Comune_11,Comune_07,33.336,44.08
Comune_11,Comune_08,73.848,144.29
Comune_11,Comune_09,56.275,101.5
Comune_11,Comune_10,28.991,50.8
Comune_11,Comune_11,0.0,0.0
Comune_11,Comune_12,28.515,47.63
Comune_11,Comune_13,30.698,49.43
Comune_11,Comune_14,60.078,108.65
Comune_11,Comune_15,37.825,66.94
Comune_11,Comune_16,61.647,116.09
Comune_11,Comune_17,66.492,100.57
Comune_11,Comune_18,22.565,40.94
Comune_11,Comune_19,40.534,63.54
Comune_11,Comune_20,58.577,96.83
Comune_12,Comune_01,65.497,111.21
Comune_12,Comune_02,42.243,69.67
Comune_12,Comune_03,40.383,66.47
Comune_12,Comune_04,8.895,13.29
Comune_12,Comune_05,41.389,64.92
Comune_12,Comune_06,40.479,77.92
Comune_12,Comune_07,27.087,39.56
Comune_12,Comune_08,69.354,92.99
Comune_12,Comune_09,50.37,88.58
Comune_12,Comune_10,27.113,45.91
Comune_12,Comune_11,28.515,47.63
Comune_12,Comune_12,0.0,0.0
Comune_12,Comune_13,39.158,63.7
Comune_12,Comune_14,65.644,111.36
Comune_12,Comune_15,47.286,71.31
Comune_12,Comune_16,33.221,56.74
Comune_12,Comune_17,58.427,83.17
Comune_12,Comune_18,35.256,56.27
Comune_12,Comune_19,13.601,20.72
Comune_12,Comune_20,72.059,141.62
Comune_13,Comune_01,34.345,57.82
Comune_13,Comune_02,63.952,117.61
Comune_13,Comune_03,14.072,24.96
Comune_13,Comune_04,34.519,61.7
Comune_13,Comune_05,72.509,124.27
Comune_13,Comune_06,26.135,34.68
Comune_13,Comune_07,17.56,22.03
Comune_13,Comune_08,44.465,74.07
Comune_13,Comune_09,29.17,39.98
Comune_13,Comune_10,13.76,20.7
Comune_13,Comune_11,30.698,49.43
Comune_13,Comune_12,39.158,63.7
Comune_13,Comune_13,0.0,0.0
