comune,fascia_oraria,codice_invio,chiamate
Comune_01,0,BIANCO,1
Comune_01,0,GIALLO,19
Comune_01,0,ROSSO,9
Comune_01,0,VERDE,37
Comune_01,1,BIANCO,7
Comune_01,1,GIALLO,23
Comune_01,1,ROSSO,6
Comune_01,1,VERDE,35
Comune_01,2,BIANCO,6
Comune_01,2,GIALLO,21
Comune_01,2,ROSSO,7
Comune_01,2,VERDE,28
Comune_01,3,BIANCO,2
Comune_01,3,GIALLO,18
Comune_01,3,ROSSO,3
Comune_01,3,VERDE,25
Comune_01,4,BIANCO,6
Comune_01,4,GIALLO,21
Comune_01,4,ROSSO,5
Comune_01,4,VERDE,31
Comune_01,5,BIANCO,8
Comune_01,5,GIALLO,28
Comune_01,5,ROSSO,9
Comune_01,5,VERDE,32
Comune_01,6,BIANCO,9
Comune_01,6,GIALLO,44
Comune_01,6,ROSSO,11
Comune_01,6,VERDE,50
Comune_01,7,BIANCO,2
Comune_01,7,GIALLO,44
Comune_01,7,ROSSO,19
Comune_01,7,VERDE,89
Comune_01,8,BIANCO,15
Comune_01,8,GIALLO,71
Comune_01,8,ROSSO,30
Comune_01,8,VERDE,97
Comune_01,9,BIANCO,6
Comune_01,9,GIALLO,76
Comune_01,9,ROSSO,30
Comune_01,9,VERDE,128
Comune_01,10,BIANCO,8
Comune_01,10,GIALLO,71
Comune_01,10,ROSSO,21
Comune_01,10,VERDE,122
Comune_01,11,BIANCO,14
Comune_01,11,GIALLO,71
Comune_01,11,ROSSO,21
Comune_01,11,VERDE,112
Comune_01,12,BIANCO,11
Comune_01,12,GIALLO,63
Comune_01,12,ROSSO,24
Comune_01,12,VERDE,93
Comune_01,13,BIANCO,7
Comune_01,13,GIALLO,66
Comune_01,13,ROSSO,28
Comune_01,13,VERDE,86
Comune_01,14,BIANCO,11
Comune_01,14,GIALLO,68
Comune_01,14,ROSSO,22
Comune_01,14,VERDE,90
Comune_01,15,BIANCO,18
Comune_01,15,GIALLO,67
Comune_01,15,ROSSO,20
Comune_01,15,VERDE,121
Comune_01,16,BIANCO,14
Comune_01,16,GIALLO,89
Comune_01,16,ROSSO,35
Comune_01,16,VERDE,117
Comune_01,17,BIANCO,12
Comune_01,17,GIALLO,97
Comune_01,17,ROSSO,32
Comune_01,17,VERDE,153
