site_id,comune,tempo_viaggio_min,tipo
S01,Comune_01,54.89,AMB_ALS
S01,Comune_02,76.8,AMB_ALS
S01,Comune_03,62.68,AMB_ALS
S01,Comune_04,40.42,AMB_ALS
S01,Comune_05,78.99,AMB_ALS
S01,Comune_06,70.45,AMB_ALS
S01,Comune_07,15.62,AMB_ALS
S01,Comune_08,49.08,AMB_ALS
S01,Comune_09,25.54,AMB_ALS
S01,Comune_10,24.63,AMB_ALS
S01,Comune_11,80.59,AMB_ALS
S01,Comune_12,53.53,AMB_ALS
S01,Comune_13,43.25,AMB_ALS
S01,Comune_14,68.34,AMB_ALS
S01,Comune_15,31.16,AMB_ALS
S01,Comune_16,69.42,AMB_ALS
S01,Comune_17,43.02,AMB_ALS
S01,Comune_18,48.07,AMB_ALS
S01,Comune_19,70.71,AMB_ALS
S01,Comune_20,95.82,AMB_ALS
S02,Comune_01,36.93,AUTO_MED
S02,Comune_02,72.34,AUTO_MED
S02,Comune_03,40.47,AUTO_MED
S02,Comune_04,55.72,AUTO_MED
S02,Comune_05,86.48,AUTO_MED
S02,Comune_06,61.4,AUTO_MED
S02,Comune_07,20.42,AUTO_MED
S02,Comune_08,55.28,AUTO_MED
S02,Comune_09,26.41,AUTO_MED
S02,Comune_10,20.51,AUTO_MED
S02,Comune_11,47.76,AUTO_MED
S02,Comune_12,67.78,AUTO_MED
S02,Comune_13,17.95,AUTO_MED
S02,Comune_14,38.57,AUTO_MED
S02,Comune_15,26.25,AUTO_MED
S02,Comune_16,109.38,AUTO_MED
S02,Comune_17,32.13,AUTO_MED
S02,Comune_18,31.51,AUTO_MED
S02,Comune_19,80.14,AUTO_MED
S02,Comune_20,55.7,AUTO_MED
S03,Comune_01,104.09,AMB_ILS
S03,Comune_02,95.74,AMB_ILS
S03,Comune_03,38.02,AMB_ILS
S03,Comune_04,23.38,AMB_ILS
S03,Comune_05,94.49,AMB_ILS
S03,Comune_06,46.02,AMB_ILS
S03,Comune_07,32.22,AMB_ILS
S03,Comune_08,91.01,AMB_ILS
S03,Comune_09,53.8,AMB_ILS
S03,Comune_10,22.88,AMB_ILS
S03,Comune_11,36.62,AMB_ILS
S03,Comune_12,24.9,AMB_ILS
S03,Comune_13,45.4,AMB_ILS
S03,Comune_14,91.38,AMB_ILS
S03,Comune_15,43.94,AMB_ILS
S03,Comune_16,76.36,AMB_ILS
S03,Comune_17,86.66,AMB_ILS
S03,Comune_18,31.09,AMB_ILS
S03,Comune_19,47.44,AMB_ILS
S03,Comune_20,100.14,AMB_ILS
S04,Comune_01,99.98,AMB_ILS
S04,Comune_02,148.91,AMB_ILS
S04,Comune_03,35.08,AMB_ILS
S04,Comune_04,96.24,AMB_ILS
S04,Comune_05,154.63,AMB_ILS
S04,Comune_06,36.02,AMB_ILS
S04,Comune_07,80.17,AMB_ILS
S04,Comune_08,136.4,AMB_ILS
S04,Comune_09,82.43,AMB_ILS
S04,Comune_10,88.54,AMB_ILS
S04,Comune_11,49.85,AMB_ILS
S04,Comune_12,105.56,AMB_ILS
S04,Comune_13,63.72,AMB_ILS
S04,Comune_14,78.79,AMB_ILS
S04,Comune_15,60.68,AMB_ILS
S04,Comune_16,137.24,AMB_ILS
S04,Comune_17,103.43,AMB_ILS
S04,Comune_18,50.19,AMB_ILS
S04,Comune_19,122.49,AMB_ILS
S04,Comune_20,80.97,AMB_ILS
S05,Comune_01,103.36,AMB_ILS
S05,Comune_02,164.71,AMB_ILS
S05,Comune_03,20.28,AMB_ILS
S05,Comune_04,91.23,AMB_ILS
S05,Comune_05,145.16,AMB_ILS
S05,Comune_06,11.41,AMB_ILS
S05,Comune_07,64.01,AMB_ILS
S05,Comune_08,119.95,AMB_ILS
S05,Comune_09,88.25,AMB_ILS
S05,Comune_10,61.81,AMB_ILS
S05,Comune_11,37.5,AMB_ILS
S05,Comune_12,69.29,AMB_ILS
S05,Comune_13,48.8,AMB_ILS
S05,Comune_14,108.46,AMB_ILS
S05,Comune_15,47.45,AMB_ILS
S05,Comune_16,154.17,AMB_ILS
S05,Comune_17,107.15,AMB_ILS
S05,Comune_18,37.33,AMB_ILS
S05,Comune_19,108.42,AMB_ILS
S05,Comune_20,60.04,AMB_ILS
S06,Comune_01,93.1,AMB_ILS
S06,Comune_02,36.2,AMB_ILS
S06,Comune_03,76.35,AMB_ILS
S06,Comune_04,26.92,AMB_ILS
S06,Comune_05,51.44,AMB_ILS
S06,Comune_06,87.75,AMB_ILS
S06,Comune_07,40.82,AMB_ILS
S06,Comune_08,114.56,AMB_ILS
S06,Comune_09,77.88,AMB_ILS
S06,Comune_10,43.94,AMB_ILS
S06,Comune_11,77.41,AMB_ILS
S06,Comune_12,43.05,AMB_ILS
S06,Comune_13,74.57,AMB_ILS
S06,Comune_14,118.4,AMB_ILS
S06,Comune_15,81.34,AMB_ILS
S06,Comune_16,27.78,AMB_ILS
S06,Comune_17,74.59,AMB_ILS
S06,Comune_18,72.09,AMB_ILS
S06,Comune_19,38.77,AMB_ILS
S06,Comune_20,123.13,AMB_ILS
S07,Comune_01,57.7,AMB_ALS
S07,Comune_02,74.61,AMB_ALS
S07,Comune_03,38.25,AMB_ALS
S07,Comune_04,49.09,AMB_ALS
S07,Comune_05,105.88,AMB_ALS
S07,Comune_06,59.69,AMB_ALS
S07,Comune_07,11.97,AMB_ALS
S07,Comune_08,54.59,AMB_ALS
S07,Comune_09,35.63,AMB_ALS
S07,Comune_10,15.82,AMB_ALS
S07,Comune_11,72.41,AMB_ALS
S07,Comune_12,57.78,AMB_ALS
S07,Comune_13,23.67,AMB_ALS
S07,Comune_14,47.66,AMB_ALS
S07,Comune_15,35.49,AMB_ALS
S07,Comune_16,96.37,AMB_ALS
S07,Comune_17,42.35,AMB_ALS
S07,Comune_18,34.82,AMB_ALS
S07,Comune_19,67.24,AMB_ALS
S07,Comune_20,64.94,AMB_ALS
S08,Comune_01,135.89,AMB_ALS
S08,Comune_02,35.33,AMB_ALS
S08,Comune_03,117.26,AMB_ALS
S08,Comune_04,38.14,AMB_ALS
S08,Comune_05,31.41,AMB_ALS
S08,Comune_06,117.88,AMB_ALS
S08,Comune_07,67.09,AMB_ALS
S08,Comune_08,107.38,AMB_ALS
S08,Comune_09,110.23,AMB_ALS
S08,Comune_10,60.84,AMB_ALS
S08,Comune_11,82.41,AMB_ALS
S08,Comune_12,37.06,AMB_ALS
S08,Comune_13,84.55,AMB_ALS
S08,Comune_14,118.66,AMB_ALS
S08,Comune_15,109.86,AMB_ALS
S08,Comune_16,20.94,AMB_ALS
S08,Comune_17,111.58,AMB_ALS
S08,Comune_18,76.97,AMB_ALS
S08,Comune_19,20.69,AMB_ALS
S08,Comune_20,158.88,AMB_ALS
S09,Comune_01,60.1,AMB_ILS
S09,Comune_02,85.8,AMB_ILS
S09,Comune_03,106.95,AMB_ILS
S09,Comune_04,92.22,AMB_ILS
S09,Comune_05,106.93,AMB_ILS
S09,Comune_06,145.68,AMB_ILS
S09,Comune_07,83.3,AMB_ILS
S09,Comune_08,33.38,AMB_ILS
