postal_code,municipality
82010,Arpaise
82010,Bucciano
82010,Moiano
82010,San Leucio del Sannio
82010,San Martino Sannita
82010,San Nicola Manfredi
82010,Sant'Angelo a Cupolo
82011,Airola
82011,Arpaia
82011,Forchia
82011,Paolisi
82013,Bonea
82014,Ceppaloni
82015,Durazzano
82016,Montesarchio
82017,Pannarano
82018,Calvi
82018,San Giorgio del Sannio
82018,San Nazzaro
82019,Sant'Agata de' Goti
82020,Baselice
82020,Buonalbergo
82020,Campolattaro
82020,Circello
82020,Foiano di Val Fortore
82020,Fragneto Monforte
82020,Fragneto l'Abate
82020,Ginestra degli Schiavoni
82020,Molinara
82020,Paduli
82020,Pago Veiano
82020,Pesco Sannita
82020,Pietrelcina
82020,Reino
82020,San Giorgio La Molara
82020,Santa Croce del Sannio
82021,Apice
82021,Sant'Arcangelo Trimonte
82022,Castelfranco in Miscano
82023,Castelvetere in Val Fortore
82024,Castelpagano
82024,Colle Sannita
82025,Montefalcone di Val Fortore
82026,Morcone
82026,Sassinoro
82027,Casalduni
82027,Pontelandolfo
82028,San Bartolomeo in Galdo
82029,San Marco dei Cavoti
82030,Apollosa
82030,Campoli del Monte Taburno
82030,Castelpoto
82030,Cautano
82030,Dugenta
82030,Faicchio
82030,Foglianise
82030,Frasso Telesino
82030,Limatola
82030,Melizzano
82030,Paupisi
82030,Pietraroja
82030,Ponte
82030,Puglianello
82030,San Lorenzello
82030,San Salvatore Telesino
82030,Tocco Caudio
82030,Torrecuso
82031,Amorosi
82032,Cerreto Sannita
82033,Cusano Mutri
82034,Guardia Sanframondi
82034,San Lorenzo Maggiore
82034,San Lupo
82036,Solopaca
82037,Castelvenere
82037,Telese Terme
82038,Vitulano
82100,Benevento
