"Popolazione residente per età, sesso e stato civile al 1° gennaio 2025"
"Codice comune";"Comune";"Età";"Celibi";"Coniugati";"Divorziati";"Vedovi";"Uniti civilmente";"Maschi già in unione civile (per scioglimento unione)";"Maschi già in unione civile (per decesso del partner)";"Totale maschi";"Nubili";"Coniugate";"Divorziate";"Vedove";"Unite civilmente";"Femmine già in unione civile (per scioglimento unione)";"Femmine già in unione civile (per decesso del partner)";"Totale femmine";"Totale"
"062001";"Airola";0;24;0;0;0;;;;24;18;0;0;0;;;;18;42
"062001";"Airola";1;25;0;0;0;;;;25;27;0;0;0;;;;27;52
"062001";"Airola";2;36;0;0;0;;;;36;36;0;0;0;;;;36;72
"062001";"Airola";3;30;0;0;0;;;;30;19;0;0;0;;;;19;49
"062001";"Airola";4;32;0;0;0;;;;32;36;0;0;0;;;;36;68
"062001";"Airola";5;35;0;0;0;;;;35;43;0;0;0;;;;43;78
"062001";"Airola";6;40;0;0;0;;;;40;31;0;0;0;;;;31;71
"062001";"Airola";7;28;0;0;0;;;;28;32;0;0;0;;;;32;60
"062001";"Airola";8;42;0;0;0;;;;42;43;0;0;0;;;;43;85
"062001";"Airola";9;38;0;0;0;;;;38;41;0;0;0;;;;41;79
"062001";"Airola";10;44;0;0;0;;;;44;27;0;0;0;;;;27;71
"062001";"Airola";11;38;0;0;0;;;;38;34;0;0;0;;;;34;72
"062001";"Airola";12;35;0;0;0;;;;35;34;0;0;0;;;;34;69
"062001";"Airola";13;44;0;0;0;;;;44;45;0;0;0;;;;45;89
"062001";"Airola";14;39;0;0;0;;;;39;38;0;0;0;;;;38;77
"062001";"Airola";15;51;0;0;0;;;;51;39;0;0;0;;;;39;90
"062001";"Airola";16;45;0;0;0;;;;45;34;0;0;0;;;;34;79
"062001";"Airola";17;59;0;0;0;;;;59;50;0;0;0;;;;50;109
"062001";"Airola";18;59;0;0;0;;;;59;33;0;0;0;;;;33;92
"062001";"Airola";19;49;0;0;0;;;;49;36;0;0;0;;;;36;85
"062001";"Airola";20;57;0;0;0;;;;57;38;0;0;0;;;;38;95
"062001";"Airola";21;43;0;0;0;;;;43;52;0;0;0;;;;52;95
"062001";"Airola";22;52;0;0;0;;;;52;37;0;0;0;;;;37;89
